"method","config","stage","T1","T2","eta_scale","q","median_rmse","mean_rmse","sd_rmse","iqr_rmse","min_rmse","max_rmse","median_mae","mean_mae","median_r2","mean_r2","fail_rate","n_repeats","n_folds_total","median_s","median_nonzero","tuned_k1_counts","K1_values","K2_values"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=30, T2=4, eta=0.5/L","stage1_only",30,4,0.5,0.4,0.822725045966973,0.831421751282144,0.198648743480905,0.297476702853665,0.501465136214016,1.37599712772716,0.522679614811201,0.529319086559499,0.20667894380551,0.207184549890612,0,20,100,17.5,17.5,"K1=2(48 times) | K1=5(18 times) | K1=15(18 times) | K1=25(16 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=40, T2=4, eta=0.5/L","stage1_only",40,4,0.5,0.4,0.826479308932945,0.830415530609029,0.19713251762698,0.293531691648053,0.506409299246611,1.37600590131933,0.523054251659905,0.530974963942985,0.206701231788266,0.208110404798626,0,20,100,17.5,17.5,"K1=2(46 times) | K1=5(18 times) | K1=15(18 times) | K1=25(18 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=100, T2=4, eta=0.5/L","stage1_only",100,4,0.5,0.4,0.828787663585246,0.831677033097097,0.194856468045107,0.289815863637264,0.522040621793611,1.35686678698931,0.529911686051181,0.536510749654517,0.204896238823346,0.203406339377701,0,20,100,17.5,17.5,"K1=2(43 times) | K1=5(13 times) | K1=15(23 times) | K1=25(21 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L","stage1_only",50,4,0.5,0.4,0.828889965006183,0.830084384389339,0.196284006929227,0.286600808907408,0.510164543380887,1.37379158739137,0.52666266227108,0.531791482413865,0.208197035903986,0.208125309318883,0,20,100,17.5,17.5,"K1=2(45 times) | K1=5(17 times) | K1=15(23 times) | K1=25(15 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=90, T2=4, eta=0.5/L","stage1_only",90,4,0.5,0.4,0.829026597794799,0.831527867921824,0.194960013667237,0.283219982301858,0.520151781109999,1.35855636240796,0.532828744089528,0.536060951227168,0.206873359100249,0.20397834871314,0,20,100,17.5,17.5,"K1=2(42 times) | K1=5(15 times) | K1=15(23 times) | K1=25(20 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=80, T2=4, eta=0.5/L","stage1_only",80,4,0.5,0.4,0.829199896503602,0.831067006089538,0.195184195973976,0.283655197643825,0.51794470340392,1.35935902950374,0.533028523482999,0.535463342956985,0.20722121443715,0.20520476837399,0,20,100,17.5,17.5,"K1=2(43 times) | K1=5(15 times) | K1=15(21 times) | K1=25(21 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=70, T2=4, eta=0.5/L","stage1_only",70,4,0.5,0.4,0.829668945874653,0.830579790695881,0.195380209248578,0.284628251099936,0.515837126188546,1.36490721030234,0.531632890532284,0.534579657094038,0.207531817651672,0.206384929667206,0,20,100,17.5,17.5,"K1=2(46 times) | K1=5(13 times) | K1=15(20 times) | K1=25(21 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=60, T2=4, eta=0.5/L","stage1_only",60,4,0.5,0.4,0.829866161028838,0.830154044670613,0.195779933694829,0.286128480536892,0.513460793193264,1.37047448538021,0.530316123716679,0.533206316123265,0.21208739285661,0.207566880559079,0,20,100,17.5,17.5,"K1=2(45 times) | K1=5(15 times) | K1=15(20 times) | K1=25(20 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=10, T2=4, eta=0.5/L","stage1_only",10,4,0.5,0.4,0.830318201343994,0.842443108385137,0.208353068140905,0.314460676113818,0.482188946874727,1.38452400942091,0.516598706427139,0.525154506554392,0.194468486814251,0.19101921322194,0,20,100,17.5,17.5,"K1=2(57 times) | K1=5(21 times) | K1=15(14 times) | K1=25(8 times)","2,5,15,25","2"
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=0, T2=4, eta=0.5/L","stage1_only",0,4,0.5,0.4,0.948624326216683,0.94883728617295,0.246470195431571,0.407706271158578,0.488783048427123,1.54979224465272,0.552043813827839,0.559302318363553,-0.0108407006864494,-0.0160661540628535,0,20,100,17.5,0,"K1=2(100 times)","2","2"
