"coord_rank","original_coord","is_true_support"
354,378,FALSE
355,380,FALSE
356,381,FALSE
357,383,FALSE
358,389,FALSE
359,390,FALSE
360,393,FALSE
361,402,FALSE
362,404,FALSE
363,405,FALSE
364,410,FALSE
365,412,FALSE
366,414,FALSE
367,423,FALSE
368,425,FALSE
369,427,FALSE
370,430,FALSE
371,431,FALSE
372,435,FALSE
373,440,FALSE
374,441,FALSE
375,444,FALSE
376,446,FALSE
377,454,FALSE
378,455,FALSE
379,459,FALSE
380,461,FALSE
381,467,FALSE
382,468,FALSE
383,474,FALSE
384,475,FALSE
385,478,FALSE
386,481,FALSE
387,484,FALSE
388,487,FALSE
389,491,FALSE
390,493,FALSE
391,495,FALSE
392,497,FALSE
393,506,FALSE
394,508,FALSE
395,514,FALSE
396,516,FALSE
397,519,FALSE
398,521,FALSE
399,522,FALSE
400,524,FALSE
401,527,FALSE
402,528,FALSE
403,532,FALSE
404,536,FALSE
405,542,FALSE
406,547,FALSE
407,549,FALSE
408,552,FALSE
409,556,FALSE
410,563,FALSE
411,564,FALSE
412,565,FALSE
413,568,FALSE
414,574,FALSE
415,576,FALSE
416,578,FALSE
417,580,FALSE
418,581,FALSE
419,583,FALSE
420,584,FALSE
421,588,FALSE
422,591,FALSE
423,592,FALSE
424,596,FALSE
425,14,FALSE
426,22,FALSE
427,24,FALSE
428,28,FALSE
429,29,FALSE
430,30,FALSE
431,31,FALSE
432,38,FALSE
433,41,FALSE
434,50,FALSE
435,55,FALSE
436,56,FALSE
437,62,FALSE
438,65,FALSE
439,78,FALSE
440,81,FALSE
441,82,FALSE
442,85,FALSE
443,88,FALSE
444,90,FALSE
445,93,FALSE
446,95,FALSE
447,100,FALSE
448,104,FALSE
449,105,FALSE
450,111,FALSE
451,119,FALSE
452,136,FALSE
453,137,FALSE
454,138,FALSE
455,157,FALSE
456,158,FALSE
457,161,FALSE
458,166,FALSE
459,170,FALSE
460,171,FALSE
461,172,FALSE
462,174,FALSE
463,175,FALSE
464,178,FALSE
465,184,FALSE
466,192,FALSE
467,193,FALSE
468,194,FALSE
469,198,FALSE
470,204,FALSE
471,206,FALSE
472,208,FALSE
473,212,FALSE
474,214,FALSE
475,216,FALSE
476,219,FALSE
477,224,FALSE
478,227,FALSE
479,228,FALSE
480,231,FALSE
481,232,FALSE
482,235,FALSE
483,238,FALSE
484,242,FALSE
485,243,FALSE
486,244,FALSE
487,248,FALSE
488,254,FALSE
489,260,FALSE
490,261,FALSE
491,279,FALSE
492,281,FALSE
493,282,FALSE
494,283,FALSE
495,284,FALSE
496,308,FALSE
497,310,FALSE
498,316,FALSE
499,320,FALSE
500,324,FALSE
501,325,FALSE
502,328,FALSE
503,330,FALSE
504,338,FALSE
505,339,FALSE
506,341,FALSE
507,346,FALSE
508,350,FALSE
509,360,FALSE
510,361,FALSE
511,362,FALSE
512,363,FALSE
513,364,FALSE
514,368,FALSE
515,375,FALSE
516,379,FALSE
517,385,FALSE
518,392,FALSE
519,401,FALSE
520,403,FALSE
521,407,FALSE
522,416,FALSE
523,421,FALSE
524,422,FALSE
525,436,FALSE
526,447,FALSE
527,448,FALSE
528,450,FALSE
529,453,FALSE
530,457,FALSE
531,458,FALSE
532,460,FALSE
533,466,FALSE
534,472,FALSE
535,480,FALSE
536,485,FALSE
537,490,FALSE
538,492,FALSE
539,501,FALSE
540,503,FALSE
541,517,FALSE
542,520,FALSE
543,526,FALSE
544,530,FALSE
545,534,FALSE
546,535,FALSE
547,537,FALSE
548,538,FALSE
549,541,FALSE
550,546,FALSE
551,550,FALSE
552,553,FALSE
553,559,FALSE
554,560,FALSE
555,577,FALSE
556,579,FALSE
557,585,FALSE
558,597,FALSE
559,12,FALSE
560,18,FALSE
561,60,FALSE
562,80,FALSE
563,84,FALSE
564,91,FALSE
565,110,FALSE
566,127,FALSE
567,132,FALSE
568,135,FALSE
569,143,FALSE
570,147,FALSE
571,156,FALSE
572,200,FALSE
573,205,FALSE
574,245,FALSE
575,246,FALSE
576,250,FALSE
577,251,FALSE
578,306,FALSE
579,317,FALSE
580,337,FALSE
581,356,FALSE
582,365,FALSE
583,366,FALSE
584,367,FALSE
585,374,FALSE
586,382,FALSE
587,394,FALSE
588,398,FALSE
589,424,FALSE
590,428,FALSE
591,443,FALSE
592,452,FALSE
593,463,FALSE
594,488,FALSE
595,523,FALSE
596,543,FALSE
597,555,FALSE
598,562,FALSE
599,575,FALSE
600,598,FALSE
