"model","iter","median_l2","q25_l2","q75_l2","mean_precision","mean_recall","mean_f1","mean_jaccard_prev","mean_hamming_prev","median_window_union_size","median_window_union_false_size","effective_support_width_all","effective_support_width_noise"
"linear",65,1.19565149973981,1.1413275129211,1.27381347303846,0.499,0.998,0.665333333333333,0.0019047619047619,0.04,20,10,130.838088773318,424.777672287748
"linear",70,1.09171522654173,1.03389532142958,1.15936201395619,0.499,0.998,0.665333333333333,0,0,20,10,130.838088773318,424.777672287748
"linear",75,0.999305818446342,0.939040036123924,1.0598360635797,0.499,0.998,0.665333333333333,0,0,20,10,130.838088773318,424.777672287748
"linear",80,0.912595196324041,0.852992842634276,0.970969610975792,0.499,0.998,0.665333333333333,0.000952380952380952,0.02,20,10,130.985321262946,425.732305921976
"linear",85,0.834498299262904,0.779184689202544,0.893043716170825,0.499,0.998,0.665333333333333,0.00380952380952381,0.08,20,10,130.985321262946,425.732305921976
"linear",90,0.762690843910065,0.711373541737867,0.821511648946397,0.499,0.998,0.665333333333333,0.00476190476190476,0.1,20,10,131.076144842492,426.321725837735
"linear",95,0.703949041377089,0.648984707492817,0.753314003603652,0.499,0.998,0.665333333333333,0.0019047619047619,0.04,20,10,130.951056832236,425.510044958966
"linear",100,0.64539193425565,0.591094442468707,0.69407449582427,0.4995,0.999,0.666,0.00935064935064935,0.2,20,10,131.116576026376,428.179605441669
"linear",105,0.5941672193323,0.538782440014331,0.645419395863258,0.4995,0.999,0.666,0.00571428571428571,0.12,20,10,131.073203866995,427.896659383133
"linear",110,0.546296951660671,0.492479334319287,0.601478709886776,0.4995,0.999,0.666,0.00380952380952381,0.08,20,10,131.107500258491,428.120390313245
"linear",115,0.503958528167467,0.451109775999938,0.554614816804527,0.5,1,0.666666666666667,0.00952380952380952,0.2,20,10,130.537602788085,426.001643541496
"linear",120,0.468149926252312,0.414244511314637,0.514751744561576,0.5,1,0.666666666666667,0.00848484848484848,0.18,20,10,130.690791287929,427.002073186623
"linear",125,0.433350067192632,0.383297948946668,0.483765456845789,0.5,1,0.666666666666667,0.0104761904761905,0.22,20,10,130.934283154565,428.594662629998
"linear",130,0.404149354643982,0.357396412188895,0.448521651221925,0.5,1,0.666666666666667,0.0103896103896104,0.22,20,10,130.775112131812,427.553248827203
"linear",135,0.379762751612795,0.337385443871412,0.420664296043851,0.5,1,0.666666666666667,0.00744588744588745,0.16,20,10,130.663465619504,426.823531192481
"linear",140,0.357360726231405,0.317456322510762,0.396797310831975,0.5,1,0.666666666666667,0.0103896103896104,0.22,20,10,130.827028694531,427.892785925989
"linear",145,0.335219968323274,0.296466998086596,0.374517409984605,0.5,1,0.666666666666667,0.00952380952380952,0.2,20,10,130.769415264749,427.51599921711
"linear",150,0.315926776043121,0.28035880604873,0.353744734577527,0.5,1,0.666666666666667,0.0133333333333333,0.28,20,10,130.827028694531,427.892785925989
"linear",155,0.301043072819561,0.270470081052914,0.334708423506455,0.5,1,0.666666666666667,0.0179220779220779,0.38,20,10,130.617904601831,426.525925064327
"linear",160,0.288339975187959,0.260563107139838,0.321976099232473,0.5,1,0.666666666666667,0.00857142857142857,0.18,20,10,130.518363554594,425.87608062423
"linear",165,0.278713780811588,0.25175148569256,0.30915746966586,0.5,1,0.666666666666667,0.016017316017316,0.34,20,10,130.298947239953,424.445391296001
"linear",170,0.271809331973543,0.242130341235722,0.299281709828282,0.5,1,0.666666666666667,0.0123809523809524,0.26,20,10,130.524049484786,425.913187347675
"linear",175,0.265025432569689,0.234596865913213,0.293361380271115,0.5,1,0.666666666666667,0.0161904761904762,0.34,20,10,130.669758754551,426.864646324313
"linear",180,0.259967464145284,0.231447177281424,0.284721053527973,0.5,1,0.666666666666667,0.0152380952380952,0.32,21,11,130.629886083206,426.604178452787
"linear",185,0.255764670121706,0.230969260357832,0.279209984511929,0.5,1,0.666666666666667,0.0219047619047619,0.46,21,11,130.637347130847,426.652911634637
"linear",190,0.253048783413186,0.229265142149239,0.273346947394011,0.5,1,0.666666666666667,0.00857142857142857,0.18,21,11,130.931525746728,428.576610859153
"linear",195,0.24946317756095,0.229862779956026,0.272861826281194,0.5,1,0.666666666666667,0.0131601731601732,0.28,20,10,130.750141865667,427.389989947302
"linear",200,0.247447441868149,0.229428519600433,0.271840250995333,0.5,1,0.666666666666667,0.00857142857142857,0.18,20,10,130.208662186074,423.857392707177
"linear",205,0.248129278663265,0.228186696417248,0.270034309136711,0.5,1,0.666666666666667,0.00848484848484848,0.18,20,10,130.226279086576,423.972094118368
"linear",210,0.248017091038347,0.227450701721461,0.270013610255906,0.5,1,0.666666666666667,0.00857142857142857,0.18,20,10,129.917270792631,421.962431255147
"linear",215,0.249099561450439,0.225420389478143,0.268040796989548,0.5,1,0.666666666666667,0.0114285714285714,0.24,20,10,130.112173108155,423.229439773165
"linear",220,0.2497763097395,0.226864603321457,0.268183373056755,0.5,1,0.666666666666667,0.00857142857142857,0.18,20,10,130.236459793868,424.038386490993
"linear",225,0.250256359106308,0.22676796964429,0.267678778581766,0.5,1,0.666666666666667,0.00952380952380952,0.2,20,10,130.516594907877,425.864538658669
"linear",230,0.250463223215275,0.228960696104555,0.268215332621769,0.5,1,0.666666666666667,0.00666666666666667,0.14,20,10,130.263097146184,424.211861952903
"linear",235,0.250496956370005,0.229224440891356,0.269665518348302,0.5,1,0.666666666666667,0.00666666666666667,0.14,20,10,130.116676463969,423.258737350727
"linear",240,0.252144787867255,0.229251028007207,0.271262971743664,0.5,1,0.666666666666667,0.00848484848484848,0.18,20,10,130.150722572131,423.480264651198
"linear",245,0.252892630715426,0.230172260275118,0.271423669226818,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,130.297181566533,424.433888104553
"linear",250,0.254403815654176,0.230528434748477,0.273027105660026,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,130.369889284523,424.90770080147
"linear",255,0.256015704925914,0.230486317471953,0.274276572805874,0.5,1,0.666666666666667,0.00666666666666667,0.14,20,10,129.700435279269,420.555072790795
"linear",260,0.257604278719305,0.229280884339593,0.275932487725328,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,129.824328661811,421.358907812248
"linear",265,0.259428839307439,0.229983615090505,0.2777971648983,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,129.836237349067,421.43621322408
"linear",270,0.259541824694387,0.230609130504259,0.281124868877992,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,129.926264168233,422.020853017838
"linear",275,0.260600430534241,0.233009711475775,0.283358176469423,0.5,1,0.666666666666667,0.00761904761904762,0.16,20,10,130.009968106632,422.564795177186
"linear",280,0.26218190850996,0.23507723125103,0.285344223860243,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,130.156991011972,423.521057732266
"linear",285,0.262837696831525,0.236752019661343,0.287484980347254,0.5,1,0.666666666666667,0.00761904761904762,0.16,20,10,130.427926465612,425.286100052981
"linear",290,0.262611335728758,0.238257251350145,0.287565341378439,0.5,1,0.666666666666667,0.00476190476190476,0.1,20,10,130.659544175869,426.797912106147
"linear",295,0.262719409707413,0.240113645041957,0.288949972645563,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,130.603173726638,426.429724686763
"linear",300,0.263153600590029,0.240413722220132,0.290110173159602,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,130.796350474936,427.692132439058
"linear",305,0.26480954214977,0.241849691512086,0.291668454776065,0.5,1,0.666666666666667,0.00467532467532467,0.1,20,10,130.77413018863,427.54682816482
"linear",310,0.264748164400671,0.243027973601336,0.292985243818648,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,130.77413018863,427.54682816482
"linear",315,0.266648637033281,0.24394584335052,0.294559245869754,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,130.808348325016,427.770599787967
"linear",320,0.268066235503673,0.246296119394057,0.296226476305676,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,130.876811460508,428.218494451735
"linear",325,0.269150285528832,0.246929240651953,0.298069849351355,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,131.058371064688,429.407415653236
"linear",330,0.269921735268285,0.247318102390077,0.300069646433987,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,130.967559800717,428.812543003862
"linear",335,0.271124969528023,0.250196280373991,0.301012637191682,0.5,1,0.666666666666667,0.00380952380952381,0.08,20,10,131.126965058347,429.857024135325
"linear",340,0.271706118173106,0.251522360433971,0.302907736617997,0.5,1,0.666666666666667,0,0,20,10,131.126965058347,429.857024135325
"linear",345,0.274723027261956,0.252201919211698,0.304012512917535,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,131.377596791479,431.501823467609
"linear",350,0.277491752482306,0.252717429036813,0.304171216130121,0.5,1,0.666666666666667,0,0,20,10,131.377596791479,431.501823467609
"linear",355,0.277988392161966,0.253047083166782,0.305941259624838,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.503092244302,432.326581745336
"linear",360,0.277986247776957,0.253080378295264,0.306909091529429,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,131.644607476464,433.257566940804
"linear",365,0.277652990075655,0.253101502461079,0.307395624516071,0.5,1,0.666666666666667,0,0,20,10,131.644607476464,433.257566940804
"linear",370,0.277321840366985,0.253099735197564,0.308274400359322,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.731328799853,433.828574684376
"linear",375,0.277738380053871,0.253437264554017,0.309786959118117,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,131.696869221142,433.601634066267
"linear",380,0.278273004758196,0.253869437378471,0.309948272793329,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.731328799853,433.828574684376
"linear",385,0.278943840947519,0.254242744805993,0.310168911665383,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.679053380455,433.484327479319
"linear",390,0.279855545538394,0.254411949558479,0.310435551086058,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,131.707770551728,433.673420592664
"linear",395,0.282360705205508,0.255562188486617,0.310715629717443,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.673317135616,433.446561137409
"linear",400,0.283495601974062,0.256014940656703,0.311228214094697,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.638872732167,433.219820354893
"linear",405,0.283805870875118,0.256361542670362,0.312058715049922,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.565457297916,432.736738850244
"linear",410,0.283860178720679,0.25669268971359,0.313128765214917,0.5,1,0.666666666666667,0,0,20,10,131.565457297916,432.736738850244
"linear",415,0.283926189619279,0.256995360834842,0.315462551677443,0.5,1,0.666666666666667,0,0,20,10,131.565457297916,432.736738850244
"linear",420,0.284069263424772,0.257579916562002,0.317424956486431,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.565457297916,432.736738850244
"linear",425,0.284236947799915,0.258161396873546,0.317563346006592,0.5,1,0.666666666666667,0,0,20,10,131.565457297916,432.736738850244
"linear",430,0.284296173937868,0.258485013194408,0.317615827070218,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,131.656683136515,433.337055362718
"linear",435,0.284448391210867,0.258446357615965,0.31764173650148,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.656683136515,433.337055362718
"linear",440,0.284594050706845,0.258550773773576,0.318419061234489,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.656683136515,433.337055362718
"linear",445,0.284801368858892,0.25955810531496,0.318988830762386,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.634316692935,433.189833280397
"linear",450,0.285296041538984,0.26114421061011,0.321372033578716,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.634316692935,433.189833280397
"linear",455,0.286136565205838,0.262144216256585,0.322659362744182,0.5,1,0.666666666666667,0.00285714285714286,0.06,20,10,131.599882491607,432.963226795117
"linear",460,0.286322292432489,0.263055155051747,0.323129607318772,0.5,1,0.666666666666667,0,0,20,10,131.599882491607,432.963226795117
"linear",465,0.286833407096093,0.264002413543252,0.323842741190351,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.599882491607,432.963226795117
"linear",470,0.287379220406785,0.264725803616558,0.325498630421578,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.508696010573,432.363428160029
"linear",475,0.287580303462325,0.264829613828725,0.326435923789064,0.5,1,0.666666666666667,0.000952380952380952,0.02,20,10,131.547659234522,432.619666252049
"linear",480,0.287864214276695,0.264869845670706,0.326339323811923,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.570010953833,432.766694559792
"linear",485,0.288225868089902,0.264854892045108,0.326262443226481,0.5,1,0.666666666666667,0,0,20,10,131.570010953833,432.766694559792
"linear",490,0.28841001388457,0.264908368781974,0.327489437759205,0.5,1,0.666666666666667,0,0,20,10,131.570010953833,432.766694559792
"linear",495,0.289048077497199,0.265226479352861,0.32762201419234,0.5,1,0.666666666666667,0.0019047619047619,0.04,20,10,131.66123994988,433.367052628496
"linear",500,0.289963938180751,0.265276466930269,0.32735727027622,0.5,1,0.666666666666667,0,0,20,10,131.66123994988,433.367052628496
