"arm","model","q","frac_stage1","frac_stage2","T1","T2","n1","n2","b2","s_ref","K1_tar","K1","K2_tar","K2","cost_proxy","T_fd_budget","eligible","runtime_sec","l2_error","method","T_fd","K_fd_tar","K_fd","T_fs","b_fs","K_fs_tar","K_fs","experiment_id","config_id","n","p","s_star","s","rep_id","q_selected","T1_selected","T2_selected","seed_data","seed_algo_ts","seed_algo_fs","df_X","df_eps","theta_magnitude","validation_metric","tuning_selection_rule"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,3.06000000000017,15.1889019675317,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,20,0.5,200,8,20490440,20500440,20700440,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,36.6099999999999,0.427534082210153,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,21,0.5,200,8,20490441,20500441,20700441,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,22.3600000000001,1.25006102922076,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,21,0.5,200,8,20490441,20500441,20700441,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,3.25,17.0284059753011,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,21,0.5,200,8,20490441,20500441,20700441,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,36.4100000000001,0.3932071924073,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,22,0.5,200,8,20490442,20500442,20700442,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,22.28,0.794878512352267,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,22,0.5,200,8,20490442,20500442,20700442,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,3.42000000000007,16.7092756020598,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,22,0.5,200,8,20490442,20500442,20700442,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,35.72,0.378201187946663,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,23,0.5,200,8,20490443,20500443,20700443,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,21.72,1.05952022118669,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,23,0.5,200,8,20490443,20500443,20700443,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.97000000000003,19.1316554712178,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,23,0.5,200,8,20490443,20500443,20700443,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,37.48,0.443788167150913,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,24,0.5,200,8,20490444,20500444,20700444,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,21.5800000000002,0.902493791460331,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,24,0.5,200,8,20490444,20500444,20700444,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.86999999999989,15.3843664639217,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,24,0.5,200,8,20490444,20500444,20700444,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,42.3099999999999,0.338137229717609,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,25,0.5,200,8,20490445,20500445,20700445,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,19.3100000000002,1.15553700212421,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,25,0.5,200,8,20490445,20500445,20700445,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.7199999999998,13.6317999472616,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,25,0.5,200,8,20490445,20500445,20700445,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
