"model","rep_id","iter","l2_error","tp","fp","fn","precision","recall","f1","jaccard_prev","hamming_prev","window_union_size","window_union_false_size","false_effective_width_current"
"linear",1,135,0.343487146077609,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,140,0.320457298421956,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,145,0.29948163756901,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,150,0.280576448414245,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,155,0.264508914532906,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,160,0.251042478223338,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,165,0.238761295971524,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,170,0.228165213014196,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,175,0.218834030020716,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,21,11,10
"linear",1,180,0.210811801382816,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,185,0.204848103280284,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,22,12,10
"linear",1,190,0.201555182534513,10,10,0,0.5,1,0.666666666666667,0,0,22,12,10
"linear",1,195,0.199933961050873,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,200,0.200947865967844,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,22,12,10
"linear",1,205,0.204007407167433,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,210,0.207630914733932,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,215,0.211530234168525,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,22,12,10
"linear",1,220,0.215446360596382,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,225,0.219509754515695,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,22,12,10
"linear",1,230,0.224475743593954,10,10,0,0.5,1,0.666666666666667,0,0,22,12,10
"linear",1,235,0.229886054416887,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,22,12,10
"linear",1,240,0.234874073682169,10,10,0,0.5,1,0.666666666666667,0,0,22,12,10
"linear",1,245,0.240262718338436,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,250,0.245825254748782,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,255,0.251166268561897,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,260,0.256438190467676,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,265,0.261634111935597,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,270,0.265966484314217,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,275,0.269442031865445,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,280,0.272130145912011,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,285,0.274187260792619,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,21,11,10
"linear",1,290,0.276729810215112,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,295,0.279725936708618,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,300,0.282418041487143,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",1,305,0.285061082736314,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,310,0.287949703703962,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,315,0.291055164572125,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,320,0.294208296617018,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,325,0.29731463451464,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,330,0.300370507313384,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,335,0.303208628721167,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,340,0.305984347436557,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,345,0.308663818673068,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,350,0.311209125912517,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,355,0.313500167868211,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,360,0.315431226952038,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,365,0.317163153323709,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,370,0.318920755038445,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,375,0.320711282765717,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,380,0.322482747950208,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,385,0.3242449091108,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,390,0.325981623924822,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,395,0.327601976491924,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,400,0.329063557865728,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,405,0.330250871372047,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,410,0.331120563889927,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,415,0.33174302235714,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,420,0.332147220093168,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,425,0.332343755113711,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,430,0.332338231571602,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
