"p","n","method","mean_l2","median_l2","sd_l2"
600,600,"TS-RIGHT",0.423179725428511,0.384382983356599,0.161421265257884
600,600,"IHT",0.493852260689574,0.498877974143359,0.0741238618037539
600,600,"Shrinkage",1.50694164260641,1.52122468027279,0.126336664133568
600,600,"Lasso",1.66006653263653,1.6663102559958,0.112067253272254
600,800,"TS-RIGHT",0.417202347739827,0.365265947363615,0.215218049406098
600,800,"IHT",0.509656216830088,0.500800399918875,0.06734081946651
600,800,"Shrinkage",1.43565424564874,1.44997321915338,0.132189002525927
600,800,"Lasso",1.58282460665449,1.57643634380549,0.165231475162793
600,1200,"TS-RIGHT",0.368131928903774,0.319388053226436,0.209140194836238
600,1200,"IHT",0.497636224878808,0.503768320169449,0.0547736886208605
600,1200,"Shrinkage",1.2990052692825,1.32095116958783,0.1605113428265
600,1200,"Lasso",1.46948411885235,1.47680934080006,0.135221415896501
600,1600,"TS-RIGHT",0.352805749803046,0.328327821053448,0.184194980203938
600,1600,"IHT",0.511345929972937,0.508193074462987,0.0491396592896419
600,1600,"Shrinkage",1.2418664827622,1.25868457529032,0.131244942527304
600,1600,"Lasso",1.40175396660501,1.40000573192023,0.117508990644584
600,2000,"TS-RIGHT",0.383195635369389,0.330457685867093,0.230700277016594
600,2000,"IHT",0.505971509534129,0.508031844474656,0.0419961829187877
600,2000,"Shrinkage",1.16800482653244,1.17888488773044,0.117662750617627
600,2000,"Lasso",1.34238338249037,1.34364582846273,0.124828475031613
