"method","config","repeat_id","outer_seed","fold","rmse","mae","r2","eta","eta_scale","q","k1_cap","T","T1","T2","lambda","s","tau_q","tau_x_q","tau_y_q","tau","tau_x","tau_y","nonzero","n1","n2","b2","K1","K1_default","K1_tar","K2","K2_tar","stage1_block_size","stage2_block_size","eligible","eta_base","y_center","fold_seed","lasso_seed","ts_seed"
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",6,20760517,4,1.29259115156355,0.829374908777219,0.0679439292171719,NA,NA,NA,NA,NA,NA,NA,0.125182800942468,33,NA,0.99,0.98,NA,25.9003809138599,2.382963,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000137787073690799,2.465694,20764517,20764558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",6,20760517,4,1.15133895833515,0.632835308285024,0.260520595419334,6.88935368453995e-05,0.5,0.4,2,NA,50,4,NA,33,NA,NA,NA,NA,NA,NA,33,252,167,41,2,31,217,2,7,126,20.5,TRUE,0.000137787073690799,2.465694,20764517,20764518,20764738
"Adaptive Huber","Adaptive Huber tau_q=0.99",6,20760517,5,0.753250781729756,0.535141713656941,0.283549193308319,NA,NA,NA,NA,NA,NA,NA,0.1324729268866,38,0.99,NA,NA,3.21651530574544,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130322355898439,2.4398965,20765517,20765548,NA
"IHT","IHT eta=0.5/L, T=50",6,20760517,5,0.777374974586231,0.525235319690633,0.236923102770191,6.51611779492197e-05,0.5,NA,NA,50,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130322355898439,2.4398965,20765517,20765518,NA
"LASSO","LASSO cv.glmnet lambda.min",6,20760517,5,0.795896903082562,0.545430654929782,0.200127393660599,NA,NA,NA,NA,NA,NA,NA,0.534795492138005,38,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130322355898439,2.4398965,20765517,20765518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",6,20760517,5,0.896467796031677,0.636292975803174,-0.0147909366475092,NA,NA,NA,NA,NA,NA,NA,0.19973458517277,38,NA,0.99,0.98,NA,27.5465395278586,2.35409,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130322355898439,2.4398965,20765517,20765558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",6,20760517,5,0.775834721651856,0.550896835299894,0.239943953958499,6.51611779492197e-05,0.5,0.4,15,NA,50,4,NA,38,NA,NA,NA,NA,NA,NA,38,252,168,42,15,31,249,2,7,16.8,21,TRUE,0.000130322355898439,2.4398965,20765517,20765518,20765738
"Adaptive Huber","Adaptive Huber tau_q=0.99",7,20860517,1,0.80068769149917,0.575741483338671,-0.4308931035165,NA,NA,NA,NA,NA,NA,NA,0.140921241243193,14,0.99,NA,NA,3.2708702861052,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00013433148196419,2.458379,20861517,20861548,NA
"IHT","IHT eta=0.5/L, T=50",7,20860517,1,0.724891090745479,0.530600733260605,-0.172806623212658,6.7165740982095e-05,0.5,NA,NA,50,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00013433148196419,2.458379,20861517,20861518,NA
"LASSO","LASSO cv.glmnet lambda.min",7,20860517,1,0.685036250752989,0.501426109544938,-0.0473889648001717,NA,NA,NA,NA,NA,NA,NA,1.90673171855126,14,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00013433148196419,2.458379,20861517,20861518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",7,20860517,1,0.775664260208839,0.575185581419105,-0.34285292069041,NA,NA,NA,NA,NA,NA,NA,0.127282162810047,14,NA,0.99,0.98,NA,27.3192792302657,2.92481616,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00013433148196419,2.458379,20861517,20861558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",7,20860517,1,0.585995133252235,0.458403025314407,0.233576338555002,6.7165740982095e-05,0.5,0.4,15,NA,50,4,NA,14,NA,NA,NA,NA,NA,NA,14,252,167,41,15,31,92,2,7,16.8,20.5,TRUE,0.00013433148196419,2.458379,20861517,20861518,20861738
"Adaptive Huber","Adaptive Huber tau_q=0.99",7,20860517,2,1.30318700825949,0.697303385340109,0.255613440057531,NA,NA,NA,NA,NA,NA,NA,0.0981222913108514,19,0.99,NA,NA,2.05678112449566,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000138093762882773,2.469759,20862517,20862548,NA
"IHT","IHT eta=0.5/L, T=50",7,20860517,2,1.33504233615366,0.709140260706604,0.218776829212409,6.90468814413865e-05,0.5,NA,NA,50,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000138093762882773,2.469759,20862517,20862518,NA
"LASSO","LASSO cv.glmnet lambda.min",7,20860517,2,1.34155804499709,0.696830907187358,0.211132660834229,NA,NA,NA,NA,NA,NA,NA,0.795900156699584,19,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000138093762882773,2.469759,20862517,20862518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",7,20860517,2,1.36935173479754,0.757191845995139,0.178107395905924,NA,NA,NA,NA,NA,NA,NA,0.318130971226549,19,NA,0.99,0.98,NA,24.9206312698428,1.91741988,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000138093762882773,2.469759,20862517,20862558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",7,20860517,2,1.31599493700209,0.706383802776786,0.240909639245658,6.90468814413865e-05,0.5,0.4,2,NA,50,4,NA,19,NA,NA,NA,NA,NA,NA,19,252,167,41,2,31,125,2,7,126,20.5,TRUE,0.000138093762882773,2.469759,20862517,20862518,20862738
"Adaptive Huber","Adaptive Huber tau_q=0.99",7,20860517,3,0.718982790989835,0.473657752687203,0.224438916549387,NA,NA,NA,NA,NA,NA,NA,0.143687731034412,13,0.99,NA,NA,3.21186612658638,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120298052559267,2.44818,20863517,20863548,NA
"IHT","IHT eta=0.5/L, T=50",7,20860517,3,0.694147951926092,0.488257436689693,0.277091866991721,6.01490262796337e-05,0.5,NA,NA,50,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120298052559267,2.44818,20863517,20863518,NA
"LASSO","LASSO cv.glmnet lambda.min",7,20860517,3,0.69838664737334,0.472872860863759,0.268236282613346,NA,NA,NA,NA,NA,NA,NA,2.03673646270854,13,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120298052559267,2.44818,20863517,20863518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",7,20860517,3,0.838970329735994,0.562798980436112,-0.0560201911319631,NA,NA,NA,NA,NA,NA,NA,0.131848211867206,13,NA,0.99,0.98,NA,28.0817170242714,2.91461716,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120298052559267,2.44818,20863517,20863558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",7,20860517,3,0.685429190313769,0.471432352927622,0.295137819536786,6.01490262796337e-05,0.5,0.4,2,NA,50,4,NA,13,NA,NA,NA,NA,NA,NA,13,252,167,41,2,31,86,2,7,126,20.5,TRUE,0.000120298052559267,2.44818,20863517,20863518,20863738
"Adaptive Huber","Adaptive Huber tau_q=0.99",7,20860517,4,0.804312948110568,0.576891515126663,0.167707609509741,NA,NA,NA,NA,NA,NA,NA,0.13036137668051,12,0.99,NA,NA,2.92044307246525,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000150099908070773,2.465694,20864517,20864548,NA
"IHT","IHT eta=0.5/L, T=50",7,20860517,4,0.850669008622302,0.566721910891978,0.0690056924349317,7.50499540353865e-05,0.5,NA,NA,50,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000150099908070773,2.465694,20864517,20864518,NA
"LASSO","LASSO cv.glmnet lambda.min",7,20860517,4,0.846575393341469,0.547616822854248,0.0779444511327271,NA,NA,NA,NA,NA,NA,NA,1.76385170608723,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000150099908070773,2.465694,20864517,20864518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",7,20860517,4,1.14443230198213,0.744128224229114,-0.68502371858285,NA,NA,NA,NA,NA,NA,NA,0.144548194719751,12,NA,0.99,0.98,NA,25.9003809138599,2.76735988,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000150099908070773,2.465694,20864517,20864558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",7,20860517,4,0.756905576664197,0.51522449058417,0.262929187769377,7.50499540353865e-05,0.5,0.4,15,NA,50,4,NA,12,NA,NA,NA,NA,NA,NA,12,252,167,41,15,31,79,2,7,16.8,20.5,TRUE,0.000150099908070773,2.465694,20864517,20864518,20864738
"Adaptive Huber","Adaptive Huber tau_q=0.99",7,20860517,5,0.714229449472695,0.564840860376079,-0.0381269299267939,NA,NA,NA,NA,NA,NA,NA,0.133943453174158,14,0.99,NA,NA,3.49863940143456,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120384741764288,2.486504,20865517,20865548,NA
"IHT","IHT eta=0.5/L, T=50",7,20860517,5,0.678116884428261,0.501710968467514,0.0641977897017949,6.01923708821441e-05,0.5,NA,NA,50,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120384741764288,2.486504,20865517,20865518,NA
"LASSO","LASSO cv.glmnet lambda.min",7,20860517,5,0.682618211979452,0.503741084667292,0.0517328795140921,NA,NA,NA,NA,NA,NA,NA,1.98901776900392,14,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120384741764288,2.486504,20865517,20865518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",7,20860517,5,0.847056604874337,0.654798573024805,-0.460157881535394,NA,NA,NA,NA,NA,NA,NA,0.153933857944768,14,NA,0.99,0.98,NA,28.1063151244031,2.94940128,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000120384741764288,2.486504,20865517,20865558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",7,20860517,5,0.668841865629649,0.493212352908388,0.0896217993693775,6.01923708821441e-05,0.5,0.4,25,NA,50,4,NA,14,NA,NA,NA,NA,NA,NA,14,252,168,42,25,31,92,2,7,10.08,21,TRUE,0.000120384741764288,2.486504,20865517,20865518,20865738
"Adaptive Huber","Adaptive Huber tau_q=0.99",8,20960517,1,0.694142960953499,0.532794204109925,-0.0183055611046969,NA,NA,NA,NA,NA,NA,NA,0.146198920245901,31,0.99,NA,NA,3.33259372954042,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131296819903571,2.423912,20961517,20961548,NA
"IHT","IHT eta=0.5/L, T=50",8,20960517,1,0.669770720879333,0.500060480588301,0.0519470710956638,6.56484099517854e-05,0.5,NA,NA,50,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131296819903571,2.423912,20961517,20961518,NA
"LASSO","LASSO cv.glmnet lambda.min",8,20960517,1,0.69194595964214,0.525787814058858,-0.0118697739033571,NA,NA,NA,NA,NA,NA,NA,0.563381719537186,31,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131296819903571,2.423912,20961517,20961518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",8,20960517,1,0.669806113422201,0.504569095670869,0.0518468729549437,NA,NA,NA,NA,NA,NA,NA,0.218870795645685,31,NA,0.99,0.98,NA,26.9374515036086,2.89034916,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131296819903571,2.423912,20961517,20961558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",8,20960517,1,0.684211930772451,0.529850845276289,0.0106235854181074,6.56484099517854e-05,0.5,0.4,5,NA,50,4,NA,31,NA,NA,NA,NA,NA,NA,31,252,167,41,5,31,203,2,7,50.4,20.5,TRUE,0.000131296819903571,2.423912,20961517,20961518,20961738
"Adaptive Huber","Adaptive Huber tau_q=0.99",8,20960517,2,0.857861522127963,0.55677093447714,0.175438507437901,NA,NA,NA,NA,NA,NA,NA,0.145931531353779,11,0.99,NA,NA,2.75143493169919,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131448929020524,2.469354,20962517,20962548,NA
"IHT","IHT eta=0.5/L, T=50",8,20960517,2,0.862088366418633,0.576007329658053,0.16729295179145,6.5724464510262e-05,0.5,NA,NA,50,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131448929020524,2.469354,20962517,20962518,NA
"LASSO","LASSO cv.glmnet lambda.min",8,20960517,2,0.851572914521648,0.552355381675424,0.187483197163426,NA,NA,NA,NA,NA,NA,NA,2.37832035021289,11,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131448929020524,2.469354,20962517,20962518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",8,20960517,2,1.05204771245332,0.732596723103719,-0.24010810072227,NA,NA,NA,NA,NA,NA,NA,0.173097172039519,11,NA,0.99,0.98,NA,26.4280062570246,2.59397624,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000131448929020524,2.469354,20962517,20962558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",8,20960517,2,0.863471845202916,0.601187613299512,0.164618151921464,6.5724464510262e-05,0.5,0.4,2,NA,50,4,NA,11,NA,NA,NA,NA,NA,NA,11,252,167,41,2,31,73,2,7,126,20.5,TRUE,0.000131448929020524,2.469354,20962517,20962518,20962738
"Adaptive Huber","Adaptive Huber tau_q=0.99",8,20960517,3,0.76643147527255,0.588621841696932,-0.0206380756631455,NA,NA,NA,NA,NA,NA,NA,0.134237820789285,22,0.99,NA,NA,3.26938228656181,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000135567248015245,2.458379,20963517,20963548,NA
"IHT","IHT eta=0.5/L, T=50",8,20960517,3,0.784364601973727,0.551515483847216,-0.0689590645094389,6.77836240076227e-05,0.5,NA,NA,50,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000135567248015245,2.458379,20963517,20963518,NA
"LASSO","LASSO cv.glmnet lambda.min",8,20960517,3,0.764363082956058,0.5319731134902,-0.0151366540663787,NA,NA,NA,NA,NA,NA,NA,1.25190640946397,22,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000135567248015245,2.458379,20963517,20963518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",8,20960517,3,1.01244678366596,0.779976698858653,-0.781022937097565,NA,NA,NA,NA,NA,NA,NA,0.100783188661611,22,NA,0.99,0.98,NA,25.9017713254319,2.92481616,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000135567248015245,2.458379,20963517,20963558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",8,20960517,3,0.720035194272719,0.536516383742178,0.0991913418460265,6.77836240076227e-05,0.5,0.4,15,NA,50,4,NA,22,NA,NA,NA,NA,NA,NA,22,252,167,41,15,31,145,2,7,16.8,20.5,TRUE,0.000135567248015245,2.458379,20963517,20963518,20963738
"Adaptive Huber","Adaptive Huber tau_q=0.99",8,20960517,4,1.19035469814597,0.632383675959686,0.239764698381026,NA,NA,NA,NA,NA,NA,NA,0.0851864230620501,50,0.99,NA,NA,2.03897345180106,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00012925854188888,2.477898,20964517,20964548,NA
"IHT","IHT eta=0.5/L, T=50",8,20960517,4,1.13617388634978,0.602970124546518,0.307396218990858,6.462927094444e-05,0.5,NA,NA,50,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00012925854188888,2.477898,20964517,20964518,NA
"LASSO","LASSO cv.glmnet lambda.min",8,20960517,4,1.16090413391987,0.640900341363872,0.276917306866944,NA,NA,NA,NA,NA,NA,NA,0.260147027345855,50,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00012925854188888,2.477898,20964517,20964518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",8,20960517,4,1.21091902188805,0.670294459700902,0.213270465359371,NA,NA,NA,NA,NA,NA,NA,0.143606726609877,50,NA,0.99,0.98,NA,26.8653563280777,1.93524364,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00012925854188888,2.477898,20964517,20964558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",8,20960517,4,1.13428000136663,0.602882118533779,0.309703293060201,6.462927094444e-05,0.5,0.4,2,NA,50,4,NA,50,NA,NA,NA,NA,NA,NA,50,252,167,41,2,31,328,2,7,126,20.5,TRUE,0.00012925854188888,2.477898,20964517,20964518,20964738
"Adaptive Huber","Adaptive Huber tau_q=0.99",8,20960517,5,0.912037764097332,0.516436947659631,0.0610264192777077,NA,NA,NA,NA,NA,NA,NA,0.129076159024783,25,0.99,NA,NA,2.9850421288886,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000132276102258665,2.500581,20965517,20965548,NA
"IHT","IHT eta=0.5/L, T=50",8,20960517,5,0.895719580000785,0.559693841651569,0.094326071168121,6.61380511293327e-05,0.5,NA,NA,50,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000132276102258665,2.500581,20965517,20965518,NA
"LASSO","LASSO cv.glmnet lambda.min",8,20960517,5,0.902564399728012,0.538560049606363,0.0804314080875093,NA,NA,NA,NA,NA,NA,NA,0.829710987909522,25,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000132276102258665,2.500581,20965517,20965518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",8,20960517,5,0.873035963315454,0.585943621857322,0.139616647200261,NA,NA,NA,NA,NA,NA,NA,0.15012669101883,25,NA,0.99,0.98,NA,26.9412047193217,2.96347828,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000132276102258665,2.500581,20965517,20965558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",8,20960517,5,0.850150179415099,0.493840202337114,0.184133629497134,6.61380511293327e-05,0.5,0.4,25,NA,50,4,NA,25,NA,NA,NA,NA,NA,NA,25,252,168,42,25,31,164,2,7,10.08,21,TRUE,0.000132276102258665,2.500581,20965517,20965518,20965738
"Adaptive Huber","Adaptive Huber tau_q=0.99",9,21060517,1,0.832694622034869,0.554986520217897,0.274461993193688,NA,NA,NA,NA,NA,NA,NA,0.140473891945325,15,0.99,NA,NA,2.89685509116776,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130395792018944,2.455286,21061517,21061548,NA
"IHT","IHT eta=0.5/L, T=50",9,21060517,1,0.85874154706867,0.594855699162909,0.228362014858967,6.5197896009472e-05,0.5,NA,NA,50,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130395792018944,2.455286,21061517,21061518,NA
"LASSO","LASSO cv.glmnet lambda.min",9,21060517,1,0.850908348992949,0.56523062893266,0.242375138077228,NA,NA,NA,NA,NA,NA,NA,1.65311355046321,15,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130395792018944,2.455286,21061517,21061518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",9,21060517,1,1.0240359379715,0.74807320556555,-0.0972839946976938,NA,NA,NA,NA,NA,NA,NA,0.195337170851722,15,NA,0.99,0.98,NA,27.2552511782597,2.75695188,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000130395792018944,2.455286,21061517,21061558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",9,21060517,1,0.842766141828735,0.574837653152559,0.25680495239223,6.5197896009472e-05,0.5,0.4,2,NA,50,4,NA,15,NA,NA,NA,NA,NA,NA,15,252,167,41,2,31,99,2,7,126,20.5,TRUE,0.000130395792018944,2.455286,21061517,21061518,21061738
"Adaptive Huber","Adaptive Huber tau_q=0.99",9,21060517,2,1.07921742901864,0.667430916009404,0.138148395094378,NA,NA,NA,NA,NA,NA,NA,0.128540885587365,35,0.99,NA,NA,3.08306189130078,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000146788721267614,2.486035,21062517,21062548,NA
"IHT","IHT eta=0.5/L, T=50",9,21060517,2,0.995924080080063,0.612243230815663,0.266049010879417,7.33943606338069e-05,0.5,NA,NA,50,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000146788721267614,2.486035,21062517,21062518,NA
"LASSO","LASSO cv.glmnet lambda.min",9,21060517,2,1.04538651580328,0.636504521408774,0.191335493518108,NA,NA,NA,NA,NA,NA,NA,0.451331694983048,35,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000146788721267614,2.486035,21062517,21062518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",9,21060517,2,1.48805569884234,0.847617299684989,-0.63852460985037,NA,NA,NA,NA,NA,NA,NA,0.0476772554224684,35,NA,0.99,0.98,NA,25.755142544638,2.27158863999999,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000146788721267614,2.486035,21062517,21062558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",9,21060517,2,1.02645484590294,0.630124631087922,0.22035967735105,7.33943606338069e-05,0.5,0.4,2,NA,50,4,NA,35,NA,NA,NA,NA,NA,NA,35,252,167,41,2,31,230,2,7,126,20.5,TRUE,0.000146788721267614,2.486035,21062517,21062518,21062738
"Adaptive Huber","Adaptive Huber tau_q=0.99",9,21060517,3,0.651265045623151,0.500500859575182,0.0943211582799394,NA,NA,NA,NA,NA,NA,NA,0.15127114295807,17,0.99,NA,NA,3.40114500830106,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000124075780149968,2.455286,21063517,21063548,NA
"IHT","IHT eta=0.5/L, T=50",9,21060517,3,0.70271899462485,0.490787348728977,-0.0544404756527348,6.20378900749841e-05,0.5,NA,NA,50,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000124075780149968,2.455286,21063517,21063518,NA
"LASSO","LASSO cv.glmnet lambda.min",9,21060517,3,0.677453021086879,0.469128529232181,0.0200203653752967,NA,NA,NA,NA,NA,NA,NA,1.47793412922069,17,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000124075780149968,2.455286,21063517,21063518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",9,21060517,3,0.853658976667034,0.649822362907789,-0.556064181246364,NA,NA,NA,NA,NA,NA,NA,0.143841492422152,17,NA,0.99,0.98,NA,28.0353272994991,3.10852388,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000124075780149968,2.455286,21063517,21063558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",9,21060517,3,0.635247148159066,0.45214530607758,0.138323734005307,6.20378900749841e-05,0.5,0.4,15,NA,50,4,NA,17,NA,NA,NA,NA,NA,NA,17,252,167,41,15,31,112,2,7,16.8,20.5,TRUE,0.000124075780149968,2.455286,21063517,21063518,21063738
"Adaptive Huber","Adaptive Huber tau_q=0.99",9,21060517,4,1.08629237907936,0.655885151682093,0.2995223495222,NA,NA,NA,NA,NA,NA,NA,0.084660767373619,27,0.99,NA,NA,2.35170858531687,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000142858772584873,2.455286,21064517,21064548,NA
"IHT","IHT eta=0.5/L, T=50",9,21060517,4,1.07068244250589,0.639652672787498,0.31950932279661,7.14293862924366e-05,0.5,NA,NA,50,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000142858772584873,2.455286,21064517,21064518,NA
"LASSO","LASSO cv.glmnet lambda.min",9,21060517,4,1.0805989807916,0.650151235204722,0.306845694993656,NA,NA,NA,NA,NA,NA,NA,0.519470618300528,27,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000142858772584873,2.455286,21064517,21064518,NA
"Shrinkage","Shrinkage tau_x_q=0.99, tau_y_q=0.98",9,21060517,4,1.08637409019058,0.662862537179731,0.299416965445154,NA,NA,NA,NA,NA,NA,NA,0.173176080720074,27,NA,0.99,0.98,NA,25.1110848431297,2.16116164,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.000142858772584873,2.455286,21064517,21064558,NA
"TS-RIGHT-TUNED","TS tuned K1cap in {2,5,15,25}, T1=50, T2=4, eta=0.5/L",9,21060517,4,1.05404880657152,0.625013736032975,0.340488672133987,7.14293862924366e-05,0.5,0.4,15,NA,50,4,NA,27,NA,NA,NA,NA,NA,NA,27,252,167,41,15,31,177,2,7,16.8,20.5,TRUE,0.000142858772584873,2.455286,21064517,21064518,21064738
