"n","method","median_l2","mean_l2","iqr_l2","median_runtime"
1200,"FD_budget",0.372933443651806,0.373789638166412,0.109014111071542,9.72
1200,"FS",13.5756805134529,13.5280471780848,1.04239984950431,0.300000000000011
1200,"TS",0.341123751723498,0.349818630138611,0.0817990053735559,11.71
2000,"FD_budget",0.260794496986809,0.261163872033427,0.0627669484064186,13.865
2000,"FS",12.1036944375195,12.093262246462,1.41341285860871,0.560000000000002
2000,"TS",0.264727688033085,0.27027473414059,0.0628011771558163,15.61
2800,"FD_budget",0.222031184610233,0.224270746744742,0.0467821342048719,17.595
2800,"FS",10.3944877049927,10.3575928372294,1.95581006479117,0.840000000000032
2800,"TS",0.244222904214797,0.246063575598226,0.0476090706646355,20.115
3600,"FD_budget",0.209345673722017,0.209483364263287,0.0516660015682104,24.4300000000001
3600,"FS",9.02345355823224,8.9484501193668,2.08821910757107,1.11500000000001
3600,"TS",0.218982255146924,0.221583427356357,0.043432076310448,24.51
4400,"FD_budget",0.199404292475563,0.199972500595337,0.0431219315565414,24.86
4400,"FS",7.2357590046672,7.42601642893089,2.34509675777197,1.28500000000003
4400,"TS",0.199353818534908,0.202060059538312,0.0396679159278704,27.3700000000001
