"p","n","rep_id","method","l2_error","df_x","scale_x","q","T1","T2","c_K1","c_K2","K1","K2","K1_block_size","K2_block_size","ts_eligible","seed_data","seed_ts"
600,2000,2,"Shrinkage",1.12087059155666,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000002,4000002
600,600,3,"TS-RIGHT",0.355803727039756,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600003,2600003
600,600,3,"IHT",0.382068958698372,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600003,2600003
600,600,3,"Lasso",1.61204686221405,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600003,2600003
600,600,3,"Shrinkage",1.46931706622155,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600003,2600003
600,800,3,"TS-RIGHT",0.198065595574714,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800003,2800003
600,800,3,"IHT",0.500173069572391,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800003,2800003
600,800,3,"Lasso",1.61182548514944,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800003,2800003
600,800,3,"Shrinkage",1.23897880284313,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800003,2800003
600,1200,3,"TS-RIGHT",0.3735729767607,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200003,3200003
600,1200,3,"IHT",0.53896922040267,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200003,3200003
600,1200,3,"Lasso",1.49406096488213,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200003,3200003
600,1200,3,"Shrinkage",1.34675640684789,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200003,3200003
600,1600,3,"TS-RIGHT",0.156440568871974,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600003,3600003
600,1600,3,"IHT",0.536591530379141,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600003,3600003
600,1600,3,"Lasso",1.51398515049436,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600003,3600003
600,1600,3,"Shrinkage",1.413408353839,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600003,3600003
600,2000,3,"TS-RIGHT",0.108866597883611,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000003,4000003
600,2000,3,"IHT",0.455675965886388,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000003,4000003
600,2000,3,"Lasso",1.15598160662166,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000003,4000003
600,2000,3,"Shrinkage",1.04968852653269,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000003,4000003
600,600,4,"TS-RIGHT",0.478294156706214,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600004,2600004
600,600,4,"IHT",0.403014048959438,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600004,2600004
600,600,4,"Lasso",1.61877787507514,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600004,2600004
600,600,4,"Shrinkage",1.25805742092412,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600004,2600004
600,800,4,"TS-RIGHT",0.447909882450884,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800004,2800004
600,800,4,"IHT",0.546317193983188,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800004,2800004
600,800,4,"Lasso",1.65231499213208,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800004,2800004
600,800,4,"Shrinkage",1.5882911009451,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800004,2800004
600,1200,4,"TS-RIGHT",0.304935547090577,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200004,3200004
600,1200,4,"IHT",0.514808697366079,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200004,3200004
600,1200,4,"Lasso",1.49181156396319,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200004,3200004
600,1200,4,"Shrinkage",1.27495924951597,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200004,3200004
600,1600,4,"TS-RIGHT",0.167237859828548,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600004,3600004
600,1600,4,"IHT",0.48557656902847,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600004,3600004
600,1600,4,"Lasso",1.42401082999574,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600004,3600004
600,1600,4,"Shrinkage",1.32285709601777,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600004,3600004
600,2000,4,"TS-RIGHT",0.287351398796929,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000004,4000004
600,2000,4,"IHT",0.492394735207448,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000004,4000004
600,2000,4,"Lasso",1.36264608926584,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000004,4000004
600,2000,4,"Shrinkage",1.24989934342197,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000004,4000004
600,600,5,"TS-RIGHT",0.599546559283351,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600005,2600005
600,600,5,"IHT",0.408029167516322,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600005,2600005
600,600,5,"Lasso",1.71245729451249,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600005,2600005
600,600,5,"Shrinkage",1.55172478273748,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600005,2600005
600,800,5,"TS-RIGHT",0.18955858061108,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800005,2800005
600,800,5,"IHT",0.470602859597514,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800005,2800005
600,800,5,"Lasso",1.5206091035175,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800005,2800005
600,800,5,"Shrinkage",1.21175172296929,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800005,2800005
600,1200,5,"TS-RIGHT",0.140730453917517,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200005,3200005
600,1200,5,"IHT",0.468582803789305,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200005,3200005
600,1200,5,"Lasso",1.31481763021165,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200005,3200005
600,1200,5,"Shrinkage",1.20374614218,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200005,3200005
600,1600,5,"TS-RIGHT",0.345184230204366,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600005,3600005
600,1600,5,"IHT",0.561263808552382,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600005,3600005
600,1600,5,"Lasso",1.39309142773536,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600005,3600005
