"n","p","rep_id","method","l2_error","runtime_sec","seed_data","seed_split","seed_algo","tuning_config_id","q","T1","T2","T_fd_budget","eta","T","lambda","tau","tau_q"
1600,800,23,"Adaptive Huber",0.171899049493793,276.87,20890530,20990530,21290530,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,3.76108445003786,0.9
1600,800,23,"Shrinkage",1.09227357768796,11.22,20890530,20990530,21390530,NA,NA,NA,NA,NA,NA,NA,0.625398654606616,3.61735520981436,0.95
2000,800,23,"TS-RIGHT",0.183668211777431,8.86000000000001,20900530,21000530,21100530,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,23,"IHT",6.00191100265961e+125,6.75,20900530,21000530,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,23,"Lasso",0.269434470959999,6.5,20900530,21000530,21200530,NA,NA,NA,NA,NA,NA,NA,0.407441015053727,NA,NA
2000,800,23,"Adaptive Huber",0.200371732772064,357.08,20900530,21000530,21300530,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.73040467389908,0.95
2000,800,23,"Shrinkage",1.22006126859275,13.9200000000001,20900530,21000530,21400530,NA,NA,NA,NA,NA,NA,NA,0.555204060908509,3.71885774602814,0.95
2400,800,23,"TS-RIGHT",0.161857113195817,9.21999999999991,20910530,21010530,21110530,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,23,"IHT",0.353022173842274,7.47000000000003,20910530,21010530,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,23,"Lasso",0.392860647418925,6.81000000000006,20910530,21010530,21210530,NA,NA,NA,NA,NA,NA,NA,0.507189701562754,NA,NA
2400,800,23,"Adaptive Huber",0.224252044695229,428.81,20910530,21010530,21310530,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.99047241215247,0.95
2400,800,23,"Shrinkage",0.627679372620673,15.9200000000001,20910530,21010530,21410530,NA,NA,NA,NA,NA,NA,NA,0.550226857254965,4.98558105981895,0.98
800,800,24,"TS-RIGHT",0.440345205977207,9.29000000000008,20870531,20970531,21070531,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,24,"IHT",0.707365195489288,2.84999999999991,20870531,20970531,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,24,"Lasso",1.05038916693794,0.670000000000073,20870531,20970531,21170531,NA,NA,NA,NA,NA,NA,NA,0.562026961006206,NA,NA
800,800,24,"Adaptive Huber",0.49279594965108,126.19,20870531,20970531,21270531,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.85722239832793,0.95
800,800,24,"Shrinkage",1.38365222498933,1.78999999999996,20870531,20970531,21370531,NA,NA,NA,NA,NA,NA,NA,0.93057295135985,5.13801191734724,0.98
1200,800,24,"TS-RIGHT",0.262163410723847,7.74000000000001,20880531,20980531,21080531,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,24,"IHT",0.696905065505778,4.16999999999996,20880531,20980531,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,24,"Lasso",0.570562419421849,4.02999999999997,20880531,20980531,21180531,NA,NA,NA,NA,NA,NA,NA,1.04998568707587,NA,NA
1200,800,24,"Adaptive Huber",0.126074938260059,214.33,20880531,20980531,21280531,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.75926222152787,0.95
1200,800,24,"Shrinkage",1.77820279110225,4.39999999999986,20880531,20980531,21380531,NA,NA,NA,NA,NA,NA,NA,0.608595782414602,2.62367453658367,0.9
1600,800,24,"TS-RIGHT",0.241588673712444,8.19000000000005,20890531,20990531,21090531,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,24,"IHT",0.302813809703963,6.61999999999989,20890531,20990531,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,24,"Lasso",0.387177039051938,4.86000000000013,20890531,20990531,21190531,NA,NA,NA,NA,NA,NA,NA,0.507698705469878,NA,NA
1600,800,24,"Adaptive Huber",0.277897839820657,292.07,20890531,20990531,21290531,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.99797332339695,0.95
1600,800,24,"Shrinkage",1.02206582922679,14.01,20890531,20990531,21390531,NA,NA,NA,NA,NA,NA,NA,0.735729760058004,3.53214792494433,0.95
2000,800,24,"TS-RIGHT",0.169017417265053,7.96000000000004,20900531,21000531,21100531,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,24,"IHT",0.250907067494076,6.9699999999998,20900531,21000531,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,24,"Lasso",0.478529562400369,3.92000000000007,20900531,21000531,21200531,NA,NA,NA,NA,NA,NA,NA,0.472575057546686,NA,NA
2000,800,24,"Adaptive Huber",0.184933889659241,359.86,20900531,21000531,21300531,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.75842507073576,0.95
2000,800,24,"Shrinkage",0.918612511933161,13.6799999999998,20900531,21000531,21400531,NA,NA,NA,NA,NA,NA,NA,0.951214491071008,5.1745457255369,0.98
2400,800,24,"TS-RIGHT",0.139164715794897,8.97000000000003,20910531,21010531,21110531,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,24,"IHT",0.32989920918288,10.28,20910531,21010531,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,24,"Lasso",0.483420480727504,6.29999999999995,20910531,21010531,21210531,NA,NA,NA,NA,NA,NA,NA,0.65548530190623,NA,NA
2400,800,24,"Adaptive Huber",0.115994638407188,450.28,20910531,21010531,21310531,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,5.73556883805816,0.95
2400,800,24,"Shrinkage",0.844881017802494,14.97,20910531,21010531,21410531,NA,NA,NA,NA,NA,NA,NA,0.661741606266013,5.5845344450224,0.98
800,800,25,"TS-RIGHT",0.448914852916069,9.60000000000014,20870532,20970532,21070532,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,25,"IHT",1.52447796464653,2.69999999999982,20870532,20970532,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,25,"Lasso",1.52441423272966,1.20000000000005,20870532,20970532,21170532,NA,NA,NA,NA,NA,NA,NA,2.18368461936852,NA,NA
800,800,25,"Adaptive Huber",0.208039252591199,130.46,20870532,20970532,21270532,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,7.65884106063364,0.95
800,800,25,"Shrinkage",1.59044605595938,1.46000000000004,20870532,20970532,21370532,NA,NA,NA,NA,NA,NA,NA,0.642663380917052,3.48295347187218,0.95
1200,800,25,"TS-RIGHT",0.251551444489747,7.18999999999983,20880532,20980532,21080532,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,25,"IHT",0.26374160832562,4.6400000000001,20880532,20980532,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,25,"Lasso",0.276646551702543,3.24000000000001,20880532,20980532,21180532,NA,NA,NA,NA,NA,NA,NA,0.410650360367272,NA,NA
1200,800,25,"Adaptive Huber",0.19014504362278,200.25,20880532,20980532,21280532,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,3.65964076024466,0.9
1200,800,25,"Shrinkage",0.893254969844096,3.70000000000005,20880532,20980532,21380532,NA,NA,NA,NA,NA,NA,NA,0.528747998170279,5.13792666489079,0.98
1600,800,25,"TS-RIGHT",0.193823401109854,8.33999999999992,20890532,20990532,21090532,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,25,"IHT",0.246020457732217,6.26999999999998,20890532,20990532,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,25,"Lasso",0.346401150593942,4.08999999999992,20890532,20990532,21190532,NA,NA,NA,NA,NA,NA,NA,0.518086659194413,NA,NA
1600,800,25,"Adaptive Huber",0.260923555102643,282.63,20890532,20990532,21290532,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.96844484670309,0.95
1600,800,25,"Shrinkage",1.56524087957709,13.0899999999999,20890532,20990532,21390532,NA,NA,NA,NA,NA,NA,NA,0.930393372056762,3.65959325486029,0.95
2000,800,25,"TS-RIGHT",0.143962522612706,8.8900000000001,20900532,21000532,21100532,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,25,"IHT",0.301950340598874,7.01999999999998,20900532,21000532,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,25,"Lasso",0.354710173413894,4.80999999999995,20900532,21000532,21200532,NA,NA,NA,NA,NA,NA,NA,0.536558667584646,NA,NA
2000,800,25,"Adaptive Huber",0.252302712209569,371.13,20900532,21000532,21300532,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.78287061484179,0.95
2000,800,25,"Shrinkage",1.16548982752151,13.98,20900532,21000532,21400532,NA,NA,NA,NA,NA,NA,NA,0.590259772780435,3.59818967944818,0.95
2400,800,25,"TS-RIGHT",0.163556196293432,9.01999999999998,20910532,21010532,21110532,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,25,"IHT",0.250253763831485,7.88000000000011,20910532,21010532,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,25,"Lasso",0.327298928613487,4.42000000000007,20910532,21010532,21210532,NA,NA,NA,NA,NA,NA,NA,0.362084088127649,NA,NA
2400,800,25,"Adaptive Huber",0.255412117354053,436.08,20910532,21010532,21310532,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.33398413746528,0.95
2400,800,25,"Shrinkage",1.20022113860781,15.51,20910532,21010532,21410532,NA,NA,NA,NA,NA,NA,NA,0.971940105930489,5.54129606258654,0.98
800,800,26,"TS-RIGHT",0.534267571529942,10.46,20870533,20970533,21070533,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,26,"IHT",5.309448653429,2.28999999999996,20870533,20970533,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,26,"Lasso",0.784402490223434,0.75,20870533,20970533,21170533,NA,NA,NA,NA,NA,NA,NA,0.550010388746123,NA,NA
800,800,26,"Adaptive Huber",0.362475735732366,132.87,20870533,20970533,21270533,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,3.85067959532252,0.9
800,800,26,"Shrinkage",1.83128112461013,1.48000000000002,20870533,20970533,21370533,NA,NA,NA,NA,NA,NA,NA,0.970865104103805,3.569609347616,0.95
1200,800,26,"TS-RIGHT",0.275006310667651,6.92000000000007,20880533,20980533,21080533,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,26,"IHT",4.360120128247e+24,4.76999999999998,20880533,20980533,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,26,"Lasso",0.397043147527911,4.70000000000005,20880533,20980533,21180533,NA,NA,NA,NA,NA,NA,NA,0.735737575878407,NA,NA
1200,800,26,"Adaptive Huber",0.269263972898809,208.32,20880533,20980533,21280533,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.97458943600166,0.95
1200,800,26,"Shrinkage",1.42120766285832,3.81999999999994,20880533,20980533,21380533,NA,NA,NA,NA,NA,NA,NA,0.945227659992033,3.60901283627753,0.95
1600,800,26,"TS-RIGHT",0.222552763251119,7.88999999999987,20890533,20990533,21090533,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,26,"IHT",0.380793238948194,6.8900000000001,20890533,20990533,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,26,"Lasso",0.395927835023476,4.62999999999988,20890533,20990533,21190533,NA,NA,NA,NA,NA,NA,NA,0.43570501969066,NA,NA
1600,800,26,"Adaptive Huber",0.268616735480166,288.95,20890533,20990533,21290533,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.29549176805602,0.95
1600,800,26,"Shrinkage",1.15414433175606,13.01,20890533,20990533,21390533,NA,NA,NA,NA,NA,NA,NA,0.507946058703594,3.57809671369832,0.95
2000,800,26,"TS-RIGHT",0.115303508606372,7.69000000000005,20900533,21000533,21100533,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,26,"IHT",0.531897782727757,6.88999999999987,20900533,21000533,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,26,"Lasso",0.553309691641899,5.17000000000007,20900533,21000533,21200533,NA,NA,NA,NA,NA,NA,NA,0.559841839905372,NA,NA
2000,800,26,"Adaptive Huber",0.196712921754023,357.8,20900533,21000533,21300533,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.5879406236747,0.95
2000,800,26,"Shrinkage",1.0823594567905,14.01,20900533,21000533,21400533,NA,NA,NA,NA,NA,NA,NA,0.601035345080674,5.44825786717843,0.98
2400,800,26,"TS-RIGHT",0.190969788395827,8.33000000000015,20910533,21010533,21110533,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,26,"IHT",0.554839688928736,9.5,20910533,21010533,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,26,"Lasso",0.597672185518325,5.27999999999997,20910533,21010533,21210533,NA,NA,NA,NA,NA,NA,NA,0.851400253794625,NA,NA
2400,800,26,"Adaptive Huber",0.193966000354876,447.34,20910533,21010533,21310533,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,10.2608413858078,0.98
2400,800,26,"Shrinkage",0.950052053425442,15.71,20910533,21010533,21410533,NA,NA,NA,NA,NA,NA,NA,0.587091503496293,3.5006801665071,0.95
800,800,27,"TS-RIGHT",0.256628882204846,9.01999999999998,20870534,20970534,21070534,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,27,"IHT",0.396239653810421,2.59000000000015,20870534,20970534,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,27,"Lasso",0.462213818698768,0.740000000000009,20870534,20970534,21170534,NA,NA,NA,NA,NA,NA,NA,0.776466102496765,NA,NA
800,800,27,"Adaptive Huber",0.263680580982481,129.26,20870534,20970534,21270534,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.469844425164,0.95
800,800,27,"Shrinkage",1.77253120655183,1.38999999999987,20870534,20970534,21370534,NA,NA,NA,NA,NA,NA,NA,0.598331433286125,3.74032782145493,0.95
1200,800,27,"TS-RIGHT",0.267805893219701,7.69000000000005,20880534,20980534,21080534,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,27,"IHT",0.203515735164033,3.4699999999998,20880534,20980534,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,27,"Lasso",0.260439784101645,3.59000000000015,20880534,20980534,21180534,NA,NA,NA,NA,NA,NA,NA,0.350200269662531,NA,NA
1200,800,27,"Adaptive Huber",0.277903662886289,202.05,20880534,20980534,21280534,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.24786811738762,0.95
1200,800,27,"Shrinkage",0.997951930265906,4.18000000000006,20880534,20980534,21380534,NA,NA,NA,NA,NA,NA,NA,0.582610035079975,5.20445007684044,0.98
1600,800,27,"TS-RIGHT",0.184811233522392,8.39999999999986,20890534,20990534,21090534,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,27,"IHT",0.211479002265096,5.60000000000014,20890534,20990534,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,27,"Lasso",0.264264039078074,4.59999999999991,20890534,20990534,21190534,NA,NA,NA,NA,NA,NA,NA,0.368056015687163,NA,NA
1600,800,27,"Adaptive Huber",0.276080581372298,290.51,20890534,20990534,21290534,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.62201822417663,0.95
1600,800,27,"Shrinkage",0.697208201964143,12.5800000000002,20890534,20990534,21390534,NA,NA,NA,NA,NA,NA,NA,0.756732315973588,5.43333375876813,0.98
2000,800,27,"TS-RIGHT",0.192832072155736,8.30999999999995,20900534,21000534,21100534,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,27,"IHT",0.265720865703618,7.61000000000013,20900534,21000534,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,27,"Lasso",0.300225076448689,3.98000000000002,20900534,21000534,21200534,NA,NA,NA,NA,NA,NA,NA,0.394150118762691,NA,NA
2000,800,27,"Adaptive Huber",0.254523963251395,358.91,20900534,21000534,21300534,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.33077213914559,0.95
2000,800,27,"Shrinkage",1.49967416208912,13.6900000000001,20900534,21000534,21400534,NA,NA,NA,NA,NA,NA,NA,0.889211592264597,3.62789629795417,0.95
2400,800,27,"TS-RIGHT",0.185717296459338,9.6099999999999,20910534,21010534,21110534,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,27,"IHT",0.647324902829523,7.27999999999997,20910534,21010534,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,27,"Lasso",0.724026151076641,5.38000000000011,20910534,21010534,21210534,NA,NA,NA,NA,NA,NA,NA,0.605400142327073,NA,NA
2400,800,27,"Adaptive Huber",0.269149396153351,442.48,20910534,21010534,21310534,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.79062602711957,0.95
2400,800,27,"Shrinkage",1.29907782310113,14.71,20910534,21010534,21410534,NA,NA,NA,NA,NA,NA,NA,0.538506894686219,3.52905982794476,0.95
800,800,28,"TS-RIGHT",0.32928190034262,9.75,20870535,20970535,21070535,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,28,"IHT",0.470189150720093,2.47000000000003,20870535,20970535,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,28,"Lasso",0.68777380733303,0.769999999999982,20870535,20970535,21170535,NA,NA,NA,NA,NA,NA,NA,0.927436101116813,NA,NA
800,800,28,"Adaptive Huber",0.303902492062938,123.5,20870535,20970535,21270535,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,7.10190325755045,0.95
800,800,28,"Shrinkage",1.44548118446295,1.39999999999986,20870535,20970535,21370535,NA,NA,NA,NA,NA,NA,NA,1.17058565515359,5.12814817439814,0.98
1200,800,28,"TS-RIGHT",0.147221834833857,7.88999999999987,20880535,20980535,21080535,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,28,"IHT",0.382739858147166,4.91000000000008,20880535,20980535,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,28,"Lasso",0.417621766281663,3,20880535,20980535,21180535,NA,NA,NA,NA,NA,NA,NA,0.592947972226888,NA,NA
1200,800,28,"Adaptive Huber",0.226066040359271,200.58,20880535,20980535,21280535,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.20482399746188,0.95
1200,800,28,"Shrinkage",1.33539865618088,3.87000000000012,20880535,20980535,21380535,NA,NA,NA,NA,NA,NA,NA,0.975041406702264,3.70775349699379,0.95
1600,800,28,"TS-RIGHT",0.13826964129754,8.02999999999997,20890535,20990535,21090535,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,28,"IHT",0.36542056924651,5.49000000000001,20890535,20990535,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,28,"Lasso",0.651612319109718,4.67000000000007,20890535,20990535,21190535,NA,NA,NA,NA,NA,NA,NA,0.821009541421436,NA,NA
1600,800,28,"Adaptive Huber",0.175254896357977,284.28,20890535,20990535,21290535,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,4.23741572946528,0.9
1600,800,28,"Shrinkage",1.38017785280731,12.8899999999999,20890535,20990535,21390535,NA,NA,NA,NA,NA,NA,NA,0.52003941428377,5.48584107251731,0.98
2000,800,28,"TS-RIGHT",0.207087942869029,7.8599999999999,20900535,21000535,21100535,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,28,"IHT",0.252695520125817,7.66000000000008,20900535,21000535,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,28,"Lasso",0.297881139043896,4.13999999999987,20900535,21000535,21200535,NA,NA,NA,NA,NA,NA,NA,0.279456281019235,NA,NA
2000,800,28,"Adaptive Huber",0.272028163770385,351.67,20900535,21000535,21300535,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.96813804890627,0.95
2000,800,28,"Shrinkage",0.851199349420292,13.9400000000001,20900535,21000535,21400535,NA,NA,NA,NA,NA,NA,NA,0.640223573035062,5.19810037461917,0.98
2400,800,28,"TS-RIGHT",0.22833005150179,10.2299999999998,20910535,21010535,21110535,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,28,"IHT",0.497294536006201,8.7800000000002,20910535,21010535,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,28,"Lasso",0.282309081519316,5.66999999999985,20910535,21010535,21210535,NA,NA,NA,NA,NA,NA,NA,0.677439607170026,NA,NA
2400,800,28,"Adaptive Huber",0.139004628548537,437.53,20910535,21010535,21310535,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.97785704670096,0.95
2400,800,28,"Shrinkage",1.11985365194056,17.6300000000001,20910535,21010535,21410535,NA,NA,NA,NA,NA,NA,NA,0.717080538004288,3.39701423707067,0.95
800,800,29,"TS-RIGHT",0.201009712364154,8.6099999999999,20870536,20970536,21070536,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,29,"IHT",0.293813541518693,2.5,20870536,20970536,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,29,"Lasso",0.36993388727229,0.680000000000064,20870536,20970536,21170536,NA,NA,NA,NA,NA,NA,NA,0.572296729267462,NA,NA
800,800,29,"Adaptive Huber",0.264446459899123,130.07,20870536,20970536,21270536,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.09175352565548,0.95
800,800,29,"Shrinkage",1.64516632112006,1.36000000000013,20870536,20970536,21370536,NA,NA,NA,NA,NA,NA,NA,0.999117046633839,5.47268507615511,0.98
1200,800,29,"TS-RIGHT",0.212307620562636,7.75,20880536,20980536,21080536,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,29,"IHT",0.619068561744331,4.08999999999992,20880536,20980536,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,29,"Lasso",1.18583434289463,9.27999999999997,20880536,20980536,21180536,NA,NA,NA,NA,NA,NA,NA,1.73681587276637,NA,NA
1200,800,29,"Adaptive Huber",0.307980774282302,212.5,20880536,20980536,21280536,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,7.51478816896659,0.95
1200,800,29,"Shrinkage",1.56497828066858,4.61000000000013,20880536,20980536,21380536,NA,NA,NA,NA,NA,NA,NA,0.798973397836419,2.54185194901768,0.9
1600,800,29,"TS-RIGHT",0.231941860841913,8.22000000000003,20890536,20990536,21090536,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,29,"IHT",0.441655800748121,4.86999999999989,20890536,20990536,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,29,"Lasso",0.549657164364188,5.0300000000002,20890536,20990536,21190536,NA,NA,NA,NA,NA,NA,NA,0.879258263056487,NA,NA
1600,800,29,"Adaptive Huber",0.204225673919172,283.8,20890536,20990536,21290536,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.94936413045967,0.95
1600,800,29,"Shrinkage",1.16194575520079,12.51,20890536,20990536,21390536,NA,NA,NA,NA,NA,NA,NA,0.751334884272865,3.54812028462232,0.95
2000,800,29,"TS-RIGHT",0.176968326092423,9,20900536,21000536,21100536,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,29,"IHT",0.195659705268229,7.88999999999987,20900536,21000536,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,29,"Lasso",0.286688713684856,4.5,20900536,21000536,21200536,NA,NA,NA,NA,NA,NA,NA,0.343753458593203,NA,NA
2000,800,29,"Adaptive Huber",0.261910130521045,357.33,20900536,21000536,21300536,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.2681862964539,0.95
2000,800,29,"Shrinkage",0.959295112491068,13.01,20900536,21000536,21400536,NA,NA,NA,NA,NA,NA,NA,0.47327607875803,4.9514915135879,0.98
2400,800,29,"TS-RIGHT",0.162671762752297,8.8599999999999,20910536,21010536,21110536,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,29,"IHT",0.382289587670573,10.25,20910536,21010536,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,29,"Lasso",0.645106514459556,7.1400000000001,20910536,21010536,21210536,NA,NA,NA,NA,NA,NA,NA,0.840404364737805,NA,NA
2400,800,29,"Adaptive Huber",0.2253828277609,444.09,20910536,21010536,21310536,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,7.15731392034869,0.95
2400,800,29,"Shrinkage",0.817488462192445,15.8600000000001,20910536,21010536,21410536,NA,NA,NA,NA,NA,NA,NA,0.535246313232549,5.31505105060828,0.98
800,800,30,"TS-RIGHT",0.253201130395239,9.27999999999997,20870537,20970537,21070537,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,30,"IHT",0.269253853285686,3,20870537,20970537,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,30,"Lasso",0.350210462120965,0.6400000000001,20870537,20970537,21170537,NA,NA,NA,NA,NA,NA,NA,0.397803179927779,NA,NA
800,800,30,"Adaptive Huber",0.361710360146051,122.09,20870537,20970537,21270537,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.14782273423157,0.95
800,800,30,"Shrinkage",1.00982009181541,1.30999999999995,20870537,20970537,21370537,NA,NA,NA,NA,NA,NA,NA,0.402939270055644,5.00764781888375,0.98
1200,800,30,"TS-RIGHT",0.247704664375035,8.27999999999997,20880537,20980537,21080537,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,30,"IHT",0.331395704038035,4.61000000000013,20880537,20980537,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,30,"Lasso",0.613242019559407,5.07999999999993,20880537,20980537,21180537,NA,NA,NA,NA,NA,NA,NA,0.657076106395214,NA,NA
1200,800,30,"Adaptive Huber",0.271976588595877,207.56,20880537,20980537,21280537,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.75202521104368,0.95
