"n","p","rep_id","method","l2_error","runtime_sec","seed_data","seed_split","seed_algo","tuning_config_id","q","T1","T2","T_fd_budget","eta","T","lambda","tau","tau_q"
1200,800,2,"Shrinkage",1.30433107428357,5.62,20880509,20980509,21380509,NA,NA,NA,NA,NA,NA,NA,0.585477740050159,5.40759101660182,0.98
1600,800,2,"TS-RIGHT",0.276139301539617,6.41,20890509,20990509,21090509,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,2,"IHT",0.335785017060424,5.88,20890509,20990509,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,2,"Lasso",0.454188799833779,5.07,20890509,20990509,21190509,NA,NA,NA,NA,NA,NA,NA,0.481032255756821,NA,NA
1600,800,2,"Adaptive Huber",0.251849400758766,299.99,20890509,20990509,21290509,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.64767887031821,0.95
1600,800,2,"Shrinkage",1.59066520959233,15.53,20890509,20990509,21390509,NA,NA,NA,NA,NA,NA,NA,0.864554306718874,3.45841884236289,0.95
2000,800,2,"TS-RIGHT",0.145484395392758,6.99,20900509,21000509,21100509,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,2,"IHT",0.371539977884974,7.81,20900509,21000509,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,2,"Lasso",0.445654185176205,6.51,20900509,21000509,21200509,NA,NA,NA,NA,NA,NA,NA,0.621046446738886,NA,NA
2000,800,2,"Adaptive Huber",0.216968679857416,364.91,20900509,21000509,21300509,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,10.2696696686701,0.98
2000,800,2,"Shrinkage",0.901522128925303,14.59,20900509,21000509,21400509,NA,NA,NA,NA,NA,NA,NA,0.953771219924598,5.53302799817418,0.98
2400,800,2,"TS-RIGHT",0.199944167244541,7.78,20910509,21010509,21110509,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,2,"IHT",0.284380185985704,8.81,20910509,21010509,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,2,"Lasso",0.392318480041788,4.58,20910509,21010509,21210509,NA,NA,NA,NA,NA,NA,NA,0.572622287142258,NA,NA
2400,800,2,"Adaptive Huber",0.254055468971751,435.37,20910509,21010509,21310509,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.07032936505617,0.95
2400,800,2,"Shrinkage",0.96534453728249,15.64,20910509,21010509,21410509,NA,NA,NA,NA,NA,NA,NA,0.612247723561544,3.49740791981916,0.95
800,800,3,"TS-RIGHT",0.301566661210193,6.89,20870510,20970510,21070510,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,3,"IHT",0.302392064341514,2.34,20870510,20970510,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,3,"Lasso",0.505029411338074,1.36,20870510,20970510,21170510,NA,NA,NA,NA,NA,NA,NA,0.677498696325857,NA,NA
800,800,3,"Adaptive Huber",0.251203511699806,126.28,20870510,20970510,21270510,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.98984241845501,0.95
800,800,3,"Shrinkage",1.4338731732695,2.34999999999999,20870510,20970510,21370510,NA,NA,NA,NA,NA,NA,NA,0.922161397309949,3.52688736790964,0.95
1200,800,3,"TS-RIGHT",0.34191368003796,5.77,20880510,20980510,21080510,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,3,"IHT",0.404565214274524,3.55,20880510,20980510,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,3,"Lasso",0.540997389765017,5.32,20880510,20980510,21180510,NA,NA,NA,NA,NA,NA,NA,0.712495496707731,NA,NA
1200,800,3,"Adaptive Huber",0.28458056682726,209.43,20880510,20980510,21280510,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.11794691739821,0.95
1200,800,3,"Shrinkage",1.25046831265629,5.75,20880510,20980510,21380510,NA,NA,NA,NA,NA,NA,NA,1.22587235846797,5.33441444110696,0.98
1600,800,3,"TS-RIGHT",0.33024978674646,6.45,20890510,20990510,21090510,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,3,"IHT",0.324444910671349,6.73,20890510,20990510,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,3,"Lasso",0.467840464163191,5.71,20890510,20990510,21190510,NA,NA,NA,NA,NA,NA,NA,0.528764519424873,NA,NA
1600,800,3,"Adaptive Huber",0.363573678023448,281.83,20890510,20990510,21290510,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.40309986596136,0.95
1600,800,3,"Shrinkage",1.10185762635126,14.11,20890510,20990510,21390510,NA,NA,NA,NA,NA,NA,NA,0.645570210765627,4.97801821614283,0.98
2000,800,3,"TS-RIGHT",0.232632488632358,7.08,20900510,21000510,21100510,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,3,"IHT",0.398412622742166,7.86,20900510,21000510,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,3,"Lasso",0.565441830077935,8,20900510,21000510,21200510,NA,NA,NA,NA,NA,NA,NA,0.550166722533036,NA,NA
2000,800,3,"Adaptive Huber",0.17904407966568,370.95,20900510,21000510,21300510,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,5.73526695367044,0.95
2000,800,3,"Shrinkage",0.762998071734855,14.94,20900510,21000510,21400510,NA,NA,NA,NA,NA,NA,NA,0.544475051860918,5.14159245748908,0.98
2400,800,3,"TS-RIGHT",0.247830481827268,7.08,20910510,21010510,21110510,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,3,"IHT",0.523020280608271,8.89,20910510,21010510,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,3,"Lasso",0.710310401596908,6.56,20910510,21010510,21210510,NA,NA,NA,NA,NA,NA,NA,0.711189113439382,NA,NA
2400,800,3,"Adaptive Huber",0.224721377047442,461.67,20910510,21010510,21310510,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,6.03770862783118,0.95
2400,800,3,"Shrinkage",1.54004286106306,16.44,20910510,21010510,21410510,NA,NA,NA,NA,NA,NA,NA,0.614672909998506,3.51636064323325,0.95
800,800,4,"TS-RIGHT",0.233226582329099,6.97,20870511,20970511,21070511,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,4,"IHT",0.571459246488325,2.5,20870511,20970511,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,4,"Lasso",0.768874678899535,1.38,20870511,20970511,21170511,NA,NA,NA,NA,NA,NA,NA,0.746674931625136,NA,NA
800,800,4,"Adaptive Huber",0.309097838137611,126.53,20870511,20970511,21270511,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.37286105273446,0.95
800,800,4,"Shrinkage",1.28123405293667,1.87,20870511,20970511,21370511,NA,NA,NA,NA,NA,NA,NA,0.788431551380925,3.50197371093258,0.95
1200,800,4,"TS-RIGHT",0.263852657165142,5.92,20880511,20980511,21080511,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,4,"IHT",0.259334052279205,2.89,20880511,20980511,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,4,"Lasso",0.361157131924126,3.3,20880511,20980511,21180511,NA,NA,NA,NA,NA,NA,NA,0.495604502603317,NA,NA
1200,800,4,"Adaptive Huber",0.248583107370145,207,20880511,20980511,21280511,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.54963542263565,0.95
1200,800,4,"Shrinkage",1.32986999023199,5.41,20880511,20980511,21380511,NA,NA,NA,NA,NA,NA,NA,0.758380056481214,3.5171371520809,0.95
1600,800,4,"TS-RIGHT",0.227004773840995,5.91,20890511,20990511,21090511,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,4,"IHT",0.333124527936711,6.36,20890511,20990511,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,4,"Lasso",0.388081645786677,4.42,20890511,20990511,21190511,NA,NA,NA,NA,NA,NA,NA,0.507101647403995,NA,NA
1600,800,4,"Adaptive Huber",0.23753897773202,286.19,20890511,20990511,21290511,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.38997851959988,0.95
1600,800,4,"Shrinkage",1.64458610269886,16.33,20890511,20990511,21390511,NA,NA,NA,NA,NA,NA,NA,0.797424449152994,3.55901552915155,0.95
2000,800,4,"TS-RIGHT",0.116875483908824,6.86,20900511,21000511,21100511,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,4,"IHT",0.268819401914744,7.81,20900511,21000511,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,4,"Lasso",0.338424289310127,5.2,20900511,21000511,21200511,NA,NA,NA,NA,NA,NA,NA,0.508263264855271,NA,NA
2000,800,4,"Adaptive Huber",0.238969534389921,369.61,20900511,21000511,21300511,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.7243760360535,0.95
