"config_id","config_signature","experiment_id","method","model","n","p","s_star","s","s_ref","df_X","scale_X","df_eps","theta_magnitude","validation_metric","n_pilot","selection_alpha","eta_ts","q_selected","T1_selected","T2_selected","T_fd_budget","n1","n2","b2","K1","K2","pilot_median","pilot_iqr","fail_rate","selection_rule","seed_base","eta_selected","T_selected"
"TS_n800_h08c18a45","linear_TS_vs_baselines_tx21_paired_IHT_10reps__method=TS-RIGHT__n=800__p=800__s_star=5__s=10__m_min=10__eta_ts=0.02__df_X=2.1__scale_X=1__df_eps=1.5__theta_magnitude=5__n_pilot=15__q_grid=0.5__T1_grid=100,150,200__T2_grid=8__metric=median_abs_prediction_error__alpha=1.05","linear_TS_vs_baselines_tx21_paired_IHT_10reps","TS-RIGHT","linear",800,800,5,10,5,2.1,1,1.5,5,"median_abs_prediction_error",15,1.05,0.02,0.5,200,8,101,400,400,50,34,5,1.03400314874528,0.230572541523264,0,"within_1.05_best_then_min_budget",20260507,NA,NA
"IHT_n800_h1969bed3","linear_TS_vs_baselines_tx21_paired_IHT_10reps__method=IHT__n=800__p=800__s_star=5__s=10__df_X=2.1__scale_X=1__df_eps=1.5__theta_magnitude=5__n_pilot=15__eta_T_pairs=0.02:200,0.01:400,0.005:800__metric=median_abs_prediction_error__alpha=1.05","linear_TS_vs_baselines_tx21_paired_IHT_10reps","IHT","linear",800,800,5,10,NA,2.1,1,1.5,5,"median_abs_prediction_error",15,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10788523159101,3.35507222722277,0,"within_1.05_best_then_min_T_over_paired_grid",20260507,0.01,400
"TS_n1600_h31f8df25","linear_TS_vs_baselines_tx21_paired_IHT_10reps__method=TS-RIGHT__n=1600__p=800__s_star=5__s=10__m_min=10__eta_ts=0.02__df_X=2.1__scale_X=1__df_eps=1.5__theta_magnitude=5__n_pilot=15__q_grid=0.5__T1_grid=100,150,200__T2_grid=8__metric=median_abs_prediction_error__alpha=1.05","linear_TS_vs_baselines_tx21_paired_IHT_10reps","TS-RIGHT","linear",1600,800,5,10,5,2.1,1,1.5,5,"median_abs_prediction_error",15,1.05,0.02,0.5,150,8,76,800,800,100,34,7,0.954247203257638,0.113879205167223,0,"within_1.05_best_then_min_budget",20260507,NA,NA
"IHT_n1600_h05d0ee93","linear_TS_vs_baselines_tx21_paired_IHT_10reps__method=IHT__n=1600__p=800__s_star=5__s=10__df_X=2.1__scale_X=1__df_eps=1.5__theta_magnitude=5__n_pilot=15__eta_T_pairs=0.02:200,0.01:400,0.005:800__metric=median_abs_prediction_error__alpha=1.05","linear_TS_vs_baselines_tx21_paired_IHT_10reps","IHT","linear",1600,800,5,10,NA,2.1,1,1.5,5,"median_abs_prediction_error",15,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997333913041776,0.127877931938583,0,"within_1.05_best_then_min_T_over_paired_grid",20260507,0.005,800
"TS_n2400_h2357e2c1","linear_TS_vs_baselines_tx21_paired_IHT_10reps__method=TS-RIGHT__n=2400__p=800__s_star=5__s=10__m_min=10__eta_ts=0.02__df_X=2.1__scale_X=1__df_eps=1.5__theta_magnitude=5__n_pilot=15__q_grid=0.5__T1_grid=100,150,200__T2_grid=8__metric=median_abs_prediction_error__alpha=1.05","linear_TS_vs_baselines_tx21_paired_IHT_10reps","TS-RIGHT","linear",2400,800,5,10,5,2.1,1,1.5,5,"median_abs_prediction_error",15,1.05,0.02,0.5,100,8,51,1200,1200,150,34,7,0.928154552192212,0.0913968574885957,0,"within_1.05_best_then_min_budget",20260507,NA,NA
"IHT_n2400_h1efc3845","linear_TS_vs_baselines_tx21_paired_IHT_10reps__method=IHT__n=2400__p=800__s_star=5__s=10__df_X=2.1__scale_X=1__df_eps=1.5__theta_magnitude=5__n_pilot=15__eta_T_pairs=0.02:200,0.01:400,0.005:800__metric=median_abs_prediction_error__alpha=1.05","linear_TS_vs_baselines_tx21_paired_IHT_10reps","IHT","linear",2400,800,5,10,NA,2.1,1,1.5,5,"median_abs_prediction_error",15,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07163519653824,8.38341813493231e+75,0,"within_1.05_best_then_min_T_over_paired_grid",20260507,0.02,200
