"s_star","s","s_ref","method","q_selected","T1_selected","T2_selected","T_fd_budget","reps","fail_rate","median_l2","mean_l2","q25_l2","q75_l2","iqr_l2","median_runtime","mean_runtime"
5,10,5,"FD_budget",0.5,150,8,76,100,0,0.382594776388744,0.386659828393165,0.323969403190949,0.455089187315762,0.131119784124813,11.0649999999999,12.6493
5,10,NA,"FS",0.5,150,8,76,100,0,6.51429513249316,6.72814090063664,5.31785200851526,7.88128294935787,2.56343094084261,2.13999999999999,2.33080000000002
5,10,5,"TS",0.5,150,8,76,100,0,0.194943509168668,0.196371976620859,0.165223075418649,0.222763494390046,0.0575404189713961,16.355,19.9751
15,30,15,"FD_budget",0.5,200,8,101,100,0,0.929823707524012,0.970082892007517,0.833212546628189,1.08443505789036,0.251222511262175,20.5700000000001,20.5331
15,30,NA,"FS",0.5,200,8,101,100,0,16.0424912217597,15.8784651561508,14.9811037194141,16.9038758960256,1.92277217661148,2.91500000000008,2.9428
15,30,15,"TS",0.5,200,8,101,100,0,0.384622877027489,0.399953020785449,0.343553337130193,0.429944841096225,0.0863915039660324,37.045,37.5998
20,40,20,"FD_budget",0.5,200,12,101,100,0,1.47204597493388,1.50189444576607,1.31342302315691,1.64170431994496,0.328281296788052,24.5349999999999,24.4487
20,40,NA,"FS",0.5,200,12,101,100,0,19.1959619835706,19.2802280187219,18.2871531341996,20.1878840832064,1.90073094900684,3.01000000000022,3.01950000000001
20,40,20,"TS",0.5,200,12,101,100,0,0.550043845541879,0.5958851731016,0.482087436482928,0.6857095504669,0.203622113983972,37.6900000000001,38.5041
30,60,30,"FD_budget",0.25,200,8,151,100,0,0.994175178943148,1.04931787674178,0.865681217196066,1.1738482693067,0.308167052110632,24.635,27.4578
30,60,NA,"FS",0.25,200,8,151,100,0,24.3312924419909,24.3844319168749,23.4996534061325,25.4603452739967,1.96069186786422,1.75,1.99020000000002
30,60,30,"TS",0.25,200,8,151,100,0,0.755088405796233,0.800162277985185,0.641138228907593,0.909577006685973,0.26843877777838,26.3449999999998,30.41
