"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.2,200,8,2560,640,80,192,7,161,512640,2,1.00365338409356,1.00365338409356,0.0139201921277694,0,3.96
0.25,200,8,2400,800,100,192,7,151,480800,2,1.01151432047411,1.01151432047411,0.0198844521620622,0,3.575
0.25,150,8,2400,800,100,192,7,113,360800,2,1.04762908322457,1.04762908322457,0.0194054084955151,0,2.625
0.2,150,8,2560,640,80,192,7,121,384640,2,1.06029897023983,1.06029897023983,0.00637712770622656,0,3.04
0.2,128,8,2560,640,80,192,7,103,328320,2,1.14965986686168,1.14965986686168,0.00965529071960836,0,2.64
0.25,128,8,2400,800,100,192,7,97,308000,2,1.16413023629398,1.16413023629398,0.0210295729714547,0,2.25
