"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.25,200,8,2400,800,100,192,7,151,480800,15,0.990341214015664,0.996805891392512,0.0487468435100618,0,6.98999999999998
0.2,200,8,2560,640,80,192,7,161,512640,15,0.993577764439442,0.993791524804191,0.0218165199562705,0,7.94999999999999
0.2,150,8,2560,640,80,192,7,121,384640,15,1.03314980498054,1.04538475330284,0.0428169641886194,0,5.83000000000001
0.25,150,8,2400,800,100,192,7,113,360800,15,1.06703449172008,1.06312470615009,0.0617418563533776,0,5.53
0.2,128,8,2560,640,80,192,7,103,328320,15,1.14000457614207,1.14850641551807,0.0605671649730657,0,4.91
0.25,128,8,2400,800,100,192,7,97,308000,15,1.19814616628479,1.1971081361343,0.0781790743191533,0,4.54000000000002
