"q","T1","T2","s","s_ref","q_min_tail","q_min_K2","q_max_K1","feasible_tail","feasible_K1","feasible_K2","feasible_blocks","feasible","n1","n2","b2","K1_tar","K1","K2_tar","K2","T_fd_budget","cost_proxy","budget_eligible"
0.2,128,8,60,30,0.113373246055405,0.175,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,2560,640,80,192,192,7,7,103,328320,TRUE
0.25,128,8,60,30,0.113373246055405,0.175,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,2400,800,100,192,192,7,7,97,308000,TRUE
0.2,150,8,60,30,0.113373246055405,0.175,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,2560,640,80,192,192,7,7,121,384640,TRUE
0.25,150,8,60,30,0.113373246055405,0.175,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,2400,800,100,192,192,7,7,113,360800,TRUE
0.2,200,8,60,30,0.113373246055405,0.175,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,2560,640,80,192,192,7,7,161,512640,TRUE
0.25,200,8,60,30,0.113373246055405,0.175,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,2400,800,100,192,192,7,7,151,480800,TRUE
