"q","T1","T2","s","s_ref","q_min_tail","q_min_K2","q_max_K1","feasible_tail","feasible_K1","feasible_K2","feasible_blocks","feasible","n1","n2","b2","K1_tar","K1","K2_tar","K2","T_fd_budget","cost_proxy","budget_eligible"
0.2,150,8,60,30,0.113373246055405,0.177777777777778,0.372222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,1440,360,45,113,113,4,4,121,216360,TRUE
0.25,150,8,60,30,0.113373246055405,0.177777777777778,0.372222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,1350,450,56,113,113,4,4,113,202948,TRUE
0.2,175,8,60,30,0.113373246055405,0.177777777777778,0.372222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,1440,360,45,113,113,4,4,141,252360,TRUE
0.25,175,8,60,30,0.113373246055405,0.177777777777778,0.372222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,1350,450,56,113,113,4,4,132,236698,TRUE
0.2,200,8,60,30,0.113373246055405,0.177777777777778,0.372222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,1440,360,45,113,113,4,4,161,288360,TRUE
0.25,200,8,60,30,0.113373246055405,0.177777777777778,0.372222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,1350,450,56,113,113,4,4,151,270448,TRUE
