"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.2,200,8,1440,360,45,113,4,161,288360,15,1.24531228422997,1.36606550751457,0.249869524482661,0,15.0699999999999
0.25,200,8,1350,450,56,113,4,151,270448,15,1.2575868758437,1.32023239317734,0.20968141324754,0,13.03
0.2,175,8,1440,360,45,113,4,141,252360,15,1.35404672459237,1.57899757621762,0.331452565724431,0,13.2199999999999
0.25,175,8,1350,450,56,113,4,132,236698,15,1.37588389255587,1.50933501404086,0.36625420801868,0,11.5
0.25,150,8,1350,450,56,113,4,113,202948,15,1.62705141601232,1.86725017209575,0.480110047405835,0,9.86000000000001
0.2,150,8,1440,360,45,113,4,121,216360,15,1.65192766025168,1.99422610128974,0.42564938957941,0,11.4400000000001
