"q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","n_pilot","pilot_median_val_loss","pilot_mean_val_loss","pilot_iqr_val_loss","pilot_fail_rate","pilot_median_runtime"
0.5,175,12,900,900,75,19,4,88,158400,15,0.927197708008547,0.925822308972199,0.0225748301493243,0,9.83
0.5,150,12,900,900,75,19,4,76,135900,15,0.929187095183152,0.926325761164456,0.0295297324271576,0,8.46000000000001
0.5,200,12,900,900,75,19,4,101,180900,15,0.929335410515114,0.923859405717139,0.0218037736749578,0,10.99
0.5,150,8,900,900,112,19,4,76,135896,15,0.931745040324336,0.9256608565985,0.0214373980723521,0,8.59
0.5,175,8,900,900,112,19,4,88,158396,15,0.937988850947278,0.932954188697435,0.0159702517072285,0,9.61000000000001
0.5,200,8,900,900,112,19,4,101,180896,15,0.940500228773947,0.934068376073367,0.0209843029162607,0,11.25
