"q","T1","T2","pilot_median","pilot_iqr","fail_rate","n1","n2","b2","K1","K2","T_fd_budget","eligible"
0.5,100,8,0.928154552192212,0.0913968574885957,0,1200,1200,150,34,7,51,TRUE
0.5,150,8,0.94556417651166,0.0777307189449282,0,1200,1200,150,34,7,76,TRUE
0.5,200,8,0.948403228239449,0.0876714291761809,0,1200,1200,150,34,7,101,TRUE
