"eta","T","pilot_median","pilot_iqr","fail_rate"
0.005,800,1.02366208495651,0.107806168650718,0
0.01,400,1.04330000436829,0.129480892153449,0
0.02,200,1.07163519653824,8.38341813493231e+75,0
