"model","rep_id","radius_id","radius","cand_id","K_name","regime","multiplier","K","block_size","q_top","topq_error","l2_error","linf_error","ref_grad_norm"
"linear",3,1,4,5,"K1_global","global",1,160,12,125,13.5714119553901,14.6087767149457,6.05334400974663,20
"linear",3,1,4,5,"K2_c10","local",10,64,31,125,13.9332219890277,15.9080290608583,4.99626297997501,20
"linear",3,1,4,5,"K2_c12","local",12,77,25,125,13.7720199920156,15.4619796330549,5.92160999290631,20
"linear",3,1,4,5,"K2_c14","local",14,90,22,125,13.4031093224651,14.761212904783,5.79414497675894,20
"linear",3,1,4,6,"K1_global","global",1,160,12,125,13.4496297867562,14.3732752293992,7.0568293865744,20
"linear",3,1,4,6,"K2_c10","local",10,64,31,125,14.5826658155671,16.0827058470792,5.8099936781101,20
"linear",3,1,4,6,"K2_c12","local",12,77,25,125,14.2588966125336,15.8655722627177,6.5120888552465,20
"linear",3,1,4,6,"K2_c14","local",14,90,22,125,14.2803097259296,15.8023927483084,6.9290129031372,20
"linear",3,1,4,7,"K1_global","global",1,160,12,125,13.9653219130436,14.7187504684945,7.68459293754533,20
"linear",3,1,4,7,"K2_c10","local",10,64,31,125,13.5913935552717,15.3504563430395,6.00117531939653,20
"linear",3,1,4,7,"K2_c12","local",12,77,25,125,13.8395598571581,15.4832443441928,5.92625818110161,20
"linear",3,1,4,7,"K2_c14","local",14,90,22,125,13.4992907169864,14.8391125864024,6.30655323331004,20
"linear",3,1,4,8,"K1_global","global",1,160,12,125,13.8618396988587,14.7067492196428,7.78697798349077,20
"linear",3,1,4,8,"K2_c10","local",10,64,31,125,13.9981525827087,15.979499855633,5.21621784292834,20
"linear",3,1,4,8,"K2_c12","local",12,77,25,125,13.6866201531823,15.214410801212,6.14554693356385,20
"linear",3,1,4,8,"K2_c14","local",14,90,22,125,13.7050751178364,15.1235701768885,6.18605671080139,20
"linear",3,1,4,9,"K1_global","global",1,160,12,125,13.1663765838902,14.0749092326083,8.54347640601011,20
"linear",3,1,4,9,"K2_c10","local",10,64,31,125,13.9751025336191,15.6956924500647,7.00032864358748,20
"linear",3,1,4,9,"K2_c12","local",12,77,25,125,13.2467752730347,14.9079493403169,7.11976595552187,20
"linear",3,1,4,9,"K2_c14","local",14,90,22,125,12.9726830480442,14.5774986366668,6.99520630228439,20
"linear",3,1,4,10,"K1_global","global",1,160,12,125,13.3263599722212,14.3291191306172,5.78785690820762,20
"linear",3,1,4,10,"K2_c10","local",10,64,31,125,14.2161934471185,16.6645307667334,5.38759624109075,20
"linear",3,1,4,10,"K2_c12","local",12,77,25,125,13.9517818774238,15.8004469037275,5.51865646226209,20
"linear",3,1,4,10,"K2_c14","local",14,90,22,125,13.4955096225523,15.1989496675582,5.39024282884142,20
"linear",3,1,4,11,"K1_global","global",1,160,12,125,14.2725604972276,15.1639742231685,6.80907459489683,20
"linear",3,1,4,11,"K2_c10","local",10,64,31,125,14.25625838791,16.0254101166769,5.48253991150083,20
"linear",3,1,4,11,"K2_c12","local",12,77,25,125,13.8343143306301,15.3359958198927,5.71124039186871,20
"linear",3,1,4,11,"K2_c14","local",14,90,22,125,13.943505268537,15.2858898359245,5.97879569735263,20
"linear",3,1,4,12,"K1_global","global",1,160,12,125,14.5538796546808,15.4316519822191,7.78602746892748,20
"linear",3,1,4,12,"K2_c10","local",10,64,31,125,14.1045710053803,15.8569513837722,6.52575452633395,20
"linear",3,1,4,12,"K2_c12","local",12,77,25,125,13.741309140674,15.1196756095555,6.31899727865229,20
"linear",3,1,4,12,"K2_c14","local",14,90,22,125,14.1652841727163,15.426468360995,7.1623263391742,20
"linear",3,2,2,1,"K1_global","global",1,160,12,125,6.88624297704203,7.44496245114005,3.0742547374215,10
"linear",3,2,2,1,"K2_c10","local",10,64,31,125,7.5290557928197,8.7019450072776,2.10820893370556,10
"linear",3,2,2,1,"K2_c12","local",12,77,25,125,7.02591103682343,8.18777985450543,2.35341304433536,10
"linear",3,2,2,1,"K2_c14","local",14,90,22,125,6.93719009983107,7.87535584459635,2.51510381600255,10
"linear",3,2,2,2,"K1_global","global",1,160,12,125,6.965742671018,7.6818017754513,3.75220723497028,10
"linear",3,2,2,2,"K2_c10","local",10,64,31,125,7.629558857873,8.93654777482367,3.04479825615115,10
"linear",3,2,2,2,"K2_c12","local",12,77,25,125,7.04501828230842,8.20810379195787,3.14030244219354,10
"linear",3,2,2,2,"K2_c14","local",14,90,22,125,6.87292042409379,7.80826356355824,3.08486355432175,10
"linear",3,2,2,3,"K1_global","global",1,160,12,125,6.97040041840934,7.6784192598162,3.26382386752197,10
"linear",3,2,2,3,"K2_c10","local",10,64,31,125,7.55037910327847,8.72280918536463,2.81278119540185,10
"linear",3,2,2,3,"K2_c12","local",12,77,25,125,7.19502611854724,8.13806866524737,2.89926190850636,10
"linear",3,2,2,3,"K2_c14","local",14,90,22,125,7.12709837724063,8.04338044863074,3.07609587785168,10
"linear",3,2,2,4,"K1_global","global",1,160,12,125,7.26655569021246,7.82354151731251,3.5656209878724,10
"linear",3,2,2,4,"K2_c10","local",10,64,31,125,7.91777395115,8.91674922653374,3.41275740978976,10
"linear",3,2,2,4,"K2_c12","local",12,77,25,125,7.60089806924574,8.50840379426664,3.52394861569001,10
"linear",3,2,2,4,"K2_c14","local",14,90,22,125,7.26615936034493,8.12265753481497,3.5166701388953,10
"linear",3,2,2,5,"K1_global","global",1,160,12,125,6.92035345023855,7.52844698987968,3.32536317121814,10
"linear",3,2,2,5,"K2_c10","local",10,64,31,125,7.32346102455623,8.53147589708899,2.31249228897022,10
"linear",3,2,2,5,"K2_c12","local",12,77,25,125,7.16831467773129,8.0892934515726,3.04438628958294,10
"linear",3,2,2,5,"K2_c14","local",14,90,22,125,7.08871397510665,7.94148992539595,2.91191469711815,10
"linear",3,2,2,6,"K1_global","global",1,160,12,125,7.40398885280166,8.00246112046925,3.57787725094129,10
"linear",3,2,2,6,"K2_c10","local",10,64,31,125,7.88610537945387,8.8744233325331,3.32407213229195,10
"linear",3,2,2,6,"K2_c12","local",12,77,25,125,7.76482790722559,8.66103043017293,3.48865149146217,10
"linear",3,2,2,6,"K2_c14","local",14,90,22,125,7.41017818771512,8.15989152003867,3.2779086423666,10
"linear",3,2,2,7,"K1_global","global",1,160,12,125,7.17396305870924,7.77112494568472,3.61690015960979,10
"linear",3,2,2,7,"K2_c10","local",10,64,31,125,7.64670206881244,8.50528395038013,3.4444207721297,10
"linear",3,2,2,7,"K2_c12","local",12,77,25,125,7.30582178935391,8.16507274176174,3.34892823186809,10
"linear",3,2,2,7,"K2_c14","local",14,90,22,125,7.47738537013411,8.23402305440125,3.60074785602119,10
"linear",3,2,2,8,"K1_global","global",1,160,12,125,6.93483492381537,7.4997852899824,3.44341428963092,10
"linear",3,2,2,8,"K2_c10","local",10,64,31,125,7.74262702581168,8.95660618243573,2.92833147253977,10
"linear",3,2,2,8,"K2_c12","local",12,77,25,125,7.70443513934015,8.66856350072129,3.54291616509454,10
"linear",3,2,2,8,"K2_c14","local",14,90,22,125,7.52040965031235,8.38568772397298,3.50654254532448,10
"linear",3,2,2,9,"K1_global","global",1,160,12,125,7.12676335836878,7.61510241241246,3.771075420979,10
"linear",3,2,2,9,"K2_c10","local",10,64,31,125,7.72789701740029,8.92057552343016,3.28900813446165,10
"linear",3,2,2,9,"K2_c12","local",12,77,25,125,7.84016755563126,8.74906015528727,3.49470545879159,10
"linear",3,2,2,9,"K2_c14","local",14,90,22,125,7.48435462834224,8.32940705130392,3.5683018225963,10
"linear",3,2,2,10,"K1_global","global",1,160,12,125,7.10891733603091,7.80446147759823,3.02574320833552,10
"linear",3,2,2,10,"K2_c10","local",10,64,31,125,7.70782269486868,8.81673548164505,2.62099154423816,10
"linear",3,2,2,10,"K2_c12","local",12,77,25,125,7.55676135729935,8.47788720995714,2.78403811491687,10
"linear",3,2,2,10,"K2_c14","local",14,90,22,125,7.40720456249097,8.31635474067617,2.9198517019129,10
"linear",3,2,2,11,"K1_global","global",1,160,12,125,7.17580810905783,7.74898260927577,3.60185301338673,10
"linear",3,2,2,11,"K2_c10","local",10,64,31,125,7.62028877861493,8.81686862660586,2.83080277051115,10
"linear",3,2,2,11,"K2_c12","local",12,77,25,125,7.8732551748127,8.81980015344778,2.90080445671562,10
"linear",3,2,2,11,"K2_c14","local",14,90,22,125,7.68445330894698,8.5094322686579,3.34149684807906,10
"linear",3,2,2,12,"K1_global","global",1,160,12,125,7.25328465777452,7.82607902649184,4.42671266000216,10
"linear",3,2,2,12,"K2_c10","local",10,64,31,125,7.64694029298782,8.78759502039755,3.63815019783801,10
"linear",3,2,2,12,"K2_c12","local",12,77,25,125,7.75269438655133,8.73947162132918,3.83441476514777,10
"linear",3,2,2,12,"K2_c14","local",14,90,22,125,7.54945879203557,8.3909611007122,3.87233764941225,10
"linear",3,3,1,1,"K1_global","global",1,160,12,125,4.11002234089724,4.47224043389484,1.92606021335972,5
"linear",3,3,1,1,"K2_c10","local",10,64,31,125,4.50580155832313,5.19059103282847,1.75859452642224,5
"linear",3,3,1,1,"K2_c12","local",12,77,25,125,4.44031647684913,5.02648608581392,1.8838759562314,5
"linear",3,3,1,1,"K2_c14","local",14,90,22,125,4.26310260303319,4.86349826982964,1.75749894856777,5
