"Config","method","eval_t","median_l2","q25_l2","q75_l2","n_rep"
"TS (q=0.25, T1=128, T2=8)","FD at matched budget",97,0.27121602935723,0.222278543846864,0.301670684475229,100
"TS (q=0.25, T1=128, T2=8)","TS final",136,0.205626695071403,0.188195254682868,0.230665356523512,100
"TS (q=0.25, T1=150, T2=8)","FD at matched budget",113,0.21356794022678,0.19359937096311,0.249763119805447,100
"TS (q=0.25, T1=150, T2=8)","TS final",158,0.211643645386082,0.193831601848601,0.2315470445195,100
"TS (q=0.25, T1=200, T2=8)","FD at matched budget",151,0.23783119234523,0.213789977901377,0.256789057592679,100
"TS (q=0.25, T1=200, T2=8)","TS final",208,0.229332645345141,0.199866713057809,0.247581435884261,100
