"Config","q","T1","T2","fd_median_l2","ts_stage1_median_l2","ts_final_median_l2","median_stage2_drop_pct","median_fd_over_ts","median_ts_reduction_vs_fd_pct","n_rep"
"TS (q=0.50, T1=150, T2=8)",0.5,150,8,0.751604498112678,0.427587686085767,0.330079768849167,24.1273354599815,2.26115467187442,55.773708276302,100
"TS (q=0.50, T1=175, T2=8)",0.5,175,8,0.521503341036303,0.390155314783159,0.315208273794426,23.7402210977716,1.788816779236,44.0943893142554,100
"TS (q=0.50, T1=200, T2=8)",0.5,200,8,0.409821867124781,0.402761644643018,0.305013049060668,24.5854037199879,1.35993863969984,26.4426633873393,100
