"q","T1","T2","pilot_median","pilot_iqr","fail_rate","n1","n2","b2","K1","K2","T_fd_budget","eligible"
0.5,150,8,0.922733902685462,0.113011320529061,0,800,800,100,34,7,76,TRUE
0.5,200,8,0.932770538642321,0.11110851533602,0,800,800,100,34,7,101,TRUE
