"q","T1","T2","pilot_median","pilot_iqr","fail_rate","n1","n2","b2","K1","K2","T_fd_budget","eligible"
0.5,150,8,0.954082432769336,0.055896950123846,0,1000,1000,125,34,7,76,TRUE
0.5,200,8,0.947964184517662,0.0609256393749038,0,1000,1000,125,34,7,101,TRUE
