"q","T1","T2","pilot_median","pilot_iqr","fail_rate","n1","n2","b2","K1","K2","T_fd_budget","eligible"
0.5,150,8,0.943886574798605,0.0877215564309599,0,1200,1200,150,34,7,76,TRUE
0.5,200,8,0.93816021907712,0.0939641785024964,0,1200,1200,150,34,7,101,TRUE
