"n","method","median_l2","q25_l2","q75_l2","iqr_l2","mean_l2","sd_l2","fail_rate","median_runtime_sec"
800,"Adaptive Huber",0.303200787818983,0.262932924653459,0.365099262019296,0.102166337365837,0.321446097229689,0.0974702497869688,0,126.34
800,"IHT",0.456261869774732,0.355350532254356,0.699852062631014,0.344501530376658,Inf,NA,0.02,2.53499999999985
800,"Lasso",0.603902683403459,0.454792679765752,0.770655344598716,0.315862664832964,0.819251677533229,0.864392368170922,0,0.699999999999932
800,"Shrinkage",1.46287217972283,1.32156678457438,1.63380377010808,0.312236985533708,1.49049954185345,0.296424937832933,0,1.51499999999993
800,"TS-RIGHT",0.320577357971189,0.277378466590065,0.369603575055667,0.0922251084656019,0.40623302467859,0.517023552091399,0,9.09999999999991
1200,"Adaptive Huber",0.266842970047488,0.228496404955643,0.303289026624636,0.0747926216689938,0.269665970777581,0.0590831960804543,0,205.19
1200,"IHT",0.377078678516218,0.300569655806447,0.546827882622163,0.246258226815716,8.90650588991811e+44,8.90650588991811e+45,0,3.95999999999998
1200,"Lasso",0.477380173693431,0.372293998690694,0.673588269552481,0.301294270861787,0.647066799066553,0.681166772355257,0,4.13000000000001
1200,"Shrinkage",1.26315633271261,1.07781913439318,1.39974744881671,0.32192831442353,1.24840943879533,0.229560112376697,0,4.19000000000005
1200,"TS-RIGHT",0.262642549374601,0.211569893502386,0.285605235490527,0.074035341988141,0.252353702334263,0.0533391135993382,0,7.54999999999984
1600,"Adaptive Huber",0.247517536081225,0.22023047316092,0.277897974387522,0.0576675012266022,0.248916753970228,0.049916812871679,0,283.83
1600,"IHT",0.350768927804393,0.277076713687095,0.561738768774705,0.28466205508761,2.45971494494098e+98,1.82781443543021e+99,0,5.88999999999971
1600,"Lasso",0.460528889039084,0.349474571122779,0.564190034609141,0.214715463486362,0.68470222274133,1.16925473158909,0,4.79499999999985
1600,"Shrinkage",1.1726169341358,1.07892277393445,1.35044385182841,0.271521077893963,1.1880253870214,0.237145921010618,0,12.9499999999999
1600,"TS-RIGHT",0.20546101421547,0.176902704621041,0.242194748272518,0.0652920436514772,0.210831512530112,0.0497665599885655,0,8.07499999999993
2000,"Adaptive Huber",0.217687983476171,0.18783781582148,0.253871168762336,0.0660333529408565,0.217476762795354,0.0454331073392766,0,359.56
2000,"IHT",0.352500433966615,0.252248406967882,0.497850590630411,0.245602183662529,Inf,NA,0.01,7.17999999999995
2000,"Lasso",0.403100120687215,0.303195558041911,0.549001909301742,0.245806351259831,0.565353376983063,0.615363134356201,0,5.255
2000,"Shrinkage",1.09754723512426,0.962220985408783,1.24393440006089,0.281713414652104,1.11632492667864,0.208714803810261,0,14.0849999999999
2000,"TS-RIGHT",0.190371547455767,0.171152696588268,0.221327647242023,0.0501749506537554,0.193174691255021,0.0400466816864652,0,8.5
2400,"Adaptive Huber",0.210550460514537,0.172897717457465,0.243036382730876,0.0701386652734111,0.209153217872174,0.0501848084886582,0,437.555
2400,"IHT",0.328742001585754,0.259246571150559,0.527434843817924,0.268188272667365,Inf,NA,0.01,8.7650000000001
2400,"Lasso",0.393375857800651,0.307839493494712,0.567502425020661,0.259662931525949,0.491508125115506,0.353405347862872,0,5.57000000000005
2400,"Shrinkage",1.02272717457544,0.902583072582682,1.16187508495255,0.259292012369868,1.03437615591841,0.187763311977236,0,15.4300000000001
2400,"TS-RIGHT",0.181602053729867,0.156866515091025,0.211919350212349,0.0550528351213237,0.184484393889421,0.0375857639094292,0,8.90500000000006
